group_id,cohort,population,state,date,mouse,mo_z,odor_z,mo_frac_responders,mo_over_odor,n_blank_trials,d,line,days_since_make,batch,scale
175,DAT 20x superficial,somas,pre,20260706,m442,0.093284795,0.56317085,0.5805084745762712,0.1656420871215191,2,2026-07-06,DAT,0.0,07/06,20x
177,DAT 20x superficial,somas,pre,20260708,m442,-0.24334654,-0.013321982,0.2644927536231884,,6,2026-07-08,DAT,2.0,07/06,20x
186,DAT 10x,units,pre,20260630,m472,1.19450875,2.0368565,0.9758064516129032,0.5864471797595953,5,2026-06-30,DAT,,before 7/6 (older stock),10x
187,DAT 10x,units,pre,20260713,m472,0.7229307,1.3160684,0.9294117647058824,0.5493108868809554,8,2026-07-13,DAT,7.0,07/06,10x
189,TH 10x,units,pre,20260714,m465,0.390050305,0.90706925,0.75,0.4300116060598461,9,2026-07-14,TH,8.0,07/06,10x
190,DAT 10x,units,pre,20260714,m472,-0.19809514,0.9003891,0.6073619631901841,-0.2200105931979851,7,2026-07-14,DAT,8.0,07/06,10x
193,DAT 10x,units,pre,20260626,m472,1.2657756,0.81744385,0.9928057553956836,1.548455713502524,3,2026-06-26,DAT,,before 7/6 (older stock),10x
195,TH 10x,units,pre,20260716,m466,0.1521342,0.19532643,0.788135593220339,0.7788715536346003,8,2026-07-16,TH,10.0,07/06,10x
196,DAT 20x superficial,somas,pre,20260721,m472,0.6358388,0.677974,0.901840490797546,0.937851304032308,9,2026-07-21,DAT,15.0,07/06,20x
199,TH 20x superficial,somas,pre,20260727,m465,-0.076796554,0.051796187,0.2934131736526946,-1.4826680967848078,4,2026-07-27,TH,5.0,07/22,20x
200,TH 20x superficial,somas,pre,20260727,m466,0.352617685,-0.16405808,0.6363636363636364,,5,2026-07-27,TH,5.0,07/22,20x
201,DAT 20x superficial,somas,pre,20260728,m472,0.0072792433,0.3412576,0.3687707641196013,0.0213306408414054,6,2026-07-28,DAT,6.0,07/22,20x
202,DAT 20x superficial,somas,pre,20260728,m496,0.39611055,0.21091236,0.677570093457944,1.8780812561198408,4,2026-07-28,DAT,6.0,07/22,20x
203,TH 20x deep,somas,pre,20260730,m462,0.20340648,0.362257245,0.5853658536585366,0.5614973414817418,4,2026-07-30,TH,8.0,07/22,20x
204,TH 20x deep,somas,pre,20260730,m465,-0.33421235,-0.08635794,0.0416666666666666,,3,2026-07-30,TH,8.0,07/22,20x
205,TH 20x deep,somas,pre,20260710,m357,-0.0363293035,-0.380502745,0.25,,3,2026-07-10,TH,4.0,07/06,20x
206,TH 10x,units,pre,20260713,m462,0.2454714499999999,0.8858263,0.7258064516129032,0.2771101399901989,6,2026-07-13,TH,7.0,07/06,10x
212,TH 20x deep,somas,pre,20260721,m462,0.32975325,0.05435684,0.5632183908045977,6.066453642264709,4,2026-07-21,TH,15.0,07/06,20x
213,Thy1 10x,units,pre,20260803,m392,0.3797125,0.80008905,0.7666666666666667,0.4745877974457968,4,2026-08-03,Thy1,12.0,07/22,10x
214,Thy1 10x,units,pre,20260803,m426,0.16684236,0.66571593,0.6059113300492611,0.2506209517924559,7,2026-08-03,Thy1,12.0,07/22,10x
215,DAT 10x,units,pre,20260803,m496,0.43821636,0.24302107,0.6926829268292682,1.8032031543602371,4,2026-08-03,DAT,12.0,07/22,10x
216,Thy1 10x,units,pre,20260805,m392,0.277920165,0.69870587,0.6587301587301587,0.3977641765053441,2,2026-08-05,Thy1,14.0,07/22,10x
217,Thy1 10x,units,pre,20260805,m426,0.053829893,0.5315776,0.4347826086956521,0.1012644118187071,3,2026-08-05,Thy1,14.0,07/22,10x
218,DAT 10x,units,pre,20260805,m496,0.077230014,-0.05401259,0.5128205128205128,,5,2026-08-05,DAT,14.0,07/22,10x
219,TH 10x,units,pre,20260806,m357,0.50944287,0.5854243,0.9885057471264368,0.8702113492726558,2,2026-08-06,TH,0.0,08/06,10x
220,Thy1 10x,units,pre,20260807,m392,0.034070874,0.667340515,0.3356164383561644,0.0510547063068694,4,2026-08-07,Thy1,1.0,08/06,10x
221,Thy1 10x,units,pre,20260807,m426,-0.02125039,0.5954627,0.2751677852348993,-0.0356871891387991,4,2026-08-07,Thy1,1.0,08/06,10x
222,DAT 10x,units,pre,20260807,m496,0.03542113,0.20984785,0.7560975609756098,0.1687943431395651,7,2026-08-07,DAT,1.0,08/06,10x
223,Thy1 10x,units,pre,20260810,m392,0.151681695,0.500090965,0.4538461538461538,0.3033082091375116,5,2026-08-10,Thy1,4.0,08/06,10x
224,Thy1 10x,units,pre,20260810,m426,0.034394453,0.44211385,0.4338235294117647,0.0777954660321091,5,2026-08-10,Thy1,4.0,08/06,10x
225,TH 20x superficial,somas,pre,20260811,m357,-0.025333548,0.10042843,0.2176870748299319,-0.2522547449960136,2,2026-08-11,TH,5.0,08/06,20x
226,TH 20x superficial,somas,pre,20260811,m465,-0.162167375,-0.0393102015,0.3658536585365853,,5,2026-08-11,TH,5.0,08/06,20x
227,DAT 20x superficial,somas,pre,20260811,m496,0.05752183,-0.14155178,0.3333333333333333,,3,2026-08-11,DAT,5.0,08/06,20x
228,TH 20x deep,somas,pre,20260723,m466,-0.09092763,-0.41795892,0.1962616822429906,,5,2026-07-23,TH,1.0,07/22,20x
