group_id,cohort,population,state,date,mouse,mo_z,odor_z,mo_frac_responders,mo_over_odor,n_blank_trials,d
175,DAT 20x superficial,processes,post,20260706,m442,0.023898544,0.09488423,0.2979591836734694,0.251870558468989,6,2026-07-06
175,DAT 20x superficial,processes,pre,20260706,m442,0.014223748,0.29203576,0.4857142857142857,0.04870550099754907,2,2026-07-06
175,DAT 20x superficial,somas,post,20260706,m442,0.042489271499999995,0.12105708500000001,0.2584745762711864,0.3509854173343096,6,2026-07-06
175,DAT 20x superficial,somas,pre,20260706,m442,0.093284795,0.56317085,0.5805084745762712,0.16564208712151918,2,2026-07-06
177,DAT 20x superficial,processes,post,20260708,m442,-0.014485557,0.05083269,0.19305856832971802,-0.28496538349632883,5,2026-07-08
177,DAT 20x superficial,processes,pre,20260708,m442,-0.113431856,0.0034412509,0.2668112798264642,,6,2026-07-08
177,DAT 20x superficial,somas,post,20260708,m442,0.060292539,0.090382515,0.26811594202898553,0.6670818907838535,5,2026-07-08
177,DAT 20x superficial,somas,pre,20260708,m442,-0.24334654,-0.013321982,0.2644927536231884,,6,2026-07-08
186,DAT 10x,units,post,20260630,m472,0.9549171000000001,1.58941605,0.9516129032258065,0.6007974438159223,9,2026-06-30
186,DAT 10x,units,pre,20260630,m472,1.19450875,2.0368565,0.9758064516129032,0.5864471797595953,5,2026-06-30
187,DAT 10x,units,post,20260713,m472,0.17997518,0.63017935,0.5529411764705883,0.2855935853816854,6,2026-07-13
187,DAT 10x,units,pre,20260713,m472,0.7229307,1.3160684,0.9294117647058824,0.5493108868809554,8,2026-07-13
189,TH 10x,units,post,20260714,m465,-0.030338368,0.506173725,0.075,-0.05993667095225063,9,2026-07-14
189,TH 10x,units,pre,20260714,m465,0.39005030500000004,0.9070692499999999,0.75,0.4300116060598461,9,2026-07-14
190,DAT 10x,units,post,20260714,m472,0.11364964,0.9874574,0.34355828220858897,0.11509320807155832,11,2026-07-14
190,DAT 10x,units,pre,20260714,m472,-0.19809514,0.9003891,0.6073619631901841,-0.22001059319798516,7,2026-07-14
193,DAT 10x,units,post,20260626,m472,-0.33038402,0.89998657,0.0,-0.3670988334859263,4,2026-06-26
193,DAT 10x,units,pre,20260626,m472,1.2657756,0.81744385,0.9928057553956835,1.5484557135025239,3,2026-06-26
195,TH 10x,units,post,20260716,m466,0.927033725,1.20266325,0.9661016949152542,0.7708173713630977,10,2026-07-16
195,TH 10x,units,pre,20260716,m466,0.1521342,0.19532643,0.788135593220339,0.7788715536346003,8,2026-07-16
196,DAT 20x superficial,processes,post,20260721,m472,0.0592374,0.21851267,0.3076923076923077,0.271093662440718,7,2026-07-21
196,DAT 20x superficial,processes,pre,20260721,m472,0.50947696,0.52879536,0.8461538461538461,0.9634671529644283,9,2026-07-21
196,DAT 20x superficial,somas,post,20260721,m472,0.06445371,0.26162115,0.25766871165644173,0.24636276539568758,7,2026-07-21
196,DAT 20x superficial,somas,pre,20260721,m472,0.6358388,0.677974,0.901840490797546,0.9378513040323081,9,2026-07-21
199,TH 20x superficial,processes,post,20260727,m465,0.009472327,0.18185474,0.2297650130548303,0.052087325301501626,3,2026-07-27
199,TH 20x superficial,processes,pre,20260727,m465,-0.0010592642,0.091459386,0.2845953002610966,-0.011581798723205947,4,2026-07-27
199,TH 20x superficial,somas,post,20260727,m465,0.0062294025,0.19827384,0.2934131736526946,0.03141817649771649,3,2026-07-27
199,TH 20x superficial,somas,pre,20260727,m465,-0.076796554,0.051796187,0.2934131736526946,-1.4826680967848078,4,2026-07-27
200,TH 20x superficial,processes,post,20260727,m466,0.18081762,0.10861195,0.4735202492211838,1.6648041030475929,4,2026-07-27
200,TH 20x superficial,processes,pre,20260727,m466,0.31152,0.004776786,0.5950155763239875,,5,2026-07-27
200,TH 20x superficial,somas,post,20260727,m466,0.231863955,0.14479608500000002,0.48484848484848486,1.601313702646035,4,2026-07-27
200,TH 20x superficial,somas,pre,20260727,m466,0.352617685,-0.16405808,0.6363636363636364,,5,2026-07-27
201,DAT 20x superficial,processes,post,20260728,m472,0.114226736,0.36309695,0.3745583038869258,0.31459018314530046,4,2026-07-28
201,DAT 20x superficial,processes,pre,20260728,m472,-0.007914167,0.23919964,0.35335689045936397,-0.03308603223650337,6,2026-07-28
201,DAT 20x superficial,somas,post,20260728,m472,0.1891797,0.4315423,0.46511627906976744,0.438380432231093,4,2026-07-28
201,DAT 20x superficial,somas,pre,20260728,m472,0.0072792433,0.3412576,0.3687707641196013,0.021330640841405436,6,2026-07-28
202,DAT 20x superficial,processes,post,20260728,m496,1.3127049,1.1064319,0.8920454545454546,1.1864308142236317,4,2026-07-28
202,DAT 20x superficial,processes,pre,20260728,m496,0.17121638,0.13097391,0.5738636363636364,1.3072556206041341,4,2026-07-28
202,DAT 20x superficial,somas,post,20260728,m496,1.8912951,1.3938679999999999,0.9112149532710281,1.356868153942841,4,2026-07-28
202,DAT 20x superficial,somas,pre,20260728,m496,0.39611055,0.21091236,0.677570093457944,1.8780812561198406,4,2026-07-28
203,TH 20x deep,processes,post,20260730,m462,-0.0009457145,0.17658119,0.11297071129707113,-0.0053556921889585185,2,2026-07-30
203,TH 20x deep,processes,pre,20260730,m462,-0.010772337,0.104513794,0.45188284518828453,-0.10307095922668352,4,2026-07-30
203,TH 20x deep,somas,post,20260730,m462,-0.024390432,0.223474355,0.1951219512195122,-0.10914197291228338,2,2026-07-30
203,TH 20x deep,somas,pre,20260730,m462,0.20340648,0.362257245,0.5853658536585366,0.5614973414817418,4,2026-07-30
204,TH 20x deep,processes,post,20260730,m465,0.0059098355,-0.0151308235,0.16352201257861634,,3,2026-07-30
204,TH 20x deep,processes,pre,20260730,m465,-0.141961075,-0.049609602,0.0880503144654088,,3,2026-07-30
204,TH 20x deep,somas,post,20260730,m465,0.16301871,0.110136895,0.4305555555555556,1.480146230743113,3,2026-07-30
204,TH 20x deep,somas,pre,20260730,m465,-0.33421235,-0.08635794,0.041666666666666664,,3,2026-07-30
205,TH 20x deep,processes,post,20260710,m357,0.049022963,0.22363517,0.3191489361702128,0.21920954114685987,8,2026-07-10
205,TH 20x deep,processes,pre,20260710,m357,-0.0695988875,-0.263069345,0.20212765957446807,,3,2026-07-10
205,TH 20x deep,somas,post,20260710,m357,0.074732273,0.23201634999999998,0.3625,0.3220991667182076,8,2026-07-10
205,TH 20x deep,somas,pre,20260710,m357,-0.0363293035,-0.38050274500000003,0.25,,3,2026-07-10
206,TH 10x,units,post,20260713,m462,0.26749456000000005,1.1612013,0.7903225806451613,0.23036019680653133,10,2026-07-13
206,TH 10x,units,pre,20260713,m462,0.24547144999999998,0.8858263,0.7258064516129032,0.27711013999019896,6,2026-07-13
212,TH 20x deep,processes,post,20260721,m462,0.05942857,0.19627988,0.40397350993377484,0.30277463996819237,6,2026-07-21
212,TH 20x deep,processes,pre,20260721,m462,0.14173232,0.038877934,0.4900662251655629,3.6455723187348377,4,2026-07-21
