group_id,mouse,line,depth_class,cohort,compartment,n_units,n_awake_trials,median_pupil_coverage,population_f0_vs_pupil_rho,population_f0_vs_speed_rho,population_f0_vs_respiration_rho,population_f0_vs_speed_given_respiration_rho,population_f0_vs_respiration_given_speed_rho
175,m442,DAT,superficial,DAT superficial,somas,236,88,0.0390625,,0.29804290112152276,0.26764116678174027,0.2478020820163435,0.2090227016070724
175,m442,DAT,superficial,DAT superficial,groups,334,88,0.0390625,,0.277405498368834,0.2517820583598835,0.2289145090168615,0.1961672170427253
177,m442,DAT,superficial,DAT superficial,somas,276,106,0.0,,0.10973523672616343,0.2513497615368213,0.052798353740767995,0.23102822808325427
177,m442,DAT,superficial,DAT superficial,groups,575,106,0.0,,0.12440691867996485,0.23233952839064967,0.07091432966425153,0.20819704166215905
205,m357,TH,deep,TH deep,somas,80,106,0.041666666666666664,0.3498452012383901,0.12750268151554153,-0.18301610546999464,0.2149796515888847,-0.21766142584544565
205,m357,TH,deep,TH deep,groups,240,106,0.041666666666666664,0.43859649122807015,0.15812775648900804,0.2728080071832077,0.23365553891669902,0.24253285605979097
212,m462,TH,deep,TH deep,somas,87,102,0.009259259259259259,0.16363636363636366,-0.013997212492736015,0.12204762255585413,-0.08857262057314673,0.1497743186835981
212,m462,TH,deep,TH deep,groups,205,102,0.009259259259259259,0.4000000000000001,-0.07040130733367472,0.12694445544750393,-0.1574724108444405,0.18903335382804065
196,m472,DAT,superficial,DAT superficial,somas,163,112,0.0,,-0.025577385856616897,0.2553687663742062,-0.0805416456745428,0.26583671221881505
196,m472,DAT,superficial,DAT superficial,groups,202,112,0.0,,0.004324326797809391,0.2607887858511901,-0.05019700586363981,0.2652202411758101
233,m465,TH,deep,TH deep,somas,101,77,1.0,0.16614963983385034,0.023532660051109256,0.10872308545440426,-0.024553016834710298,0.1089459533188109
233,m465,TH,deep,TH deep,groups,474,77,1.0,0.013723479774440581,-0.09204272873762319,-0.13023188558208013,-0.04148435932033588,-0.10132732497205216
228,m466,TH,deep,TH deep,somas,107,75,1.0,-0.006813704222819729,0.349713329948757,0.4692527631972005,0.15752252144276507,0.3654937558730716
228,m466,TH,deep,TH deep,groups,542,75,1.0,-0.18347083926031296,0.2208864791075718,0.4240428452656703,0.018585030223010474,0.37153717782046913
199,m465,TH,superficial,TH superficial,somas,167,76,1.0,0.2911825017088175,-0.17667245591156747,-0.26100151747507194,-0.010183384518100068,-0.19544190490065694
199,m465,TH,superficial,TH superficial,groups,483,76,1.0,0.15693779904306218,-0.15273239475221484,-0.21968858086237203,-0.013899591931436514,-0.16037372405154438
237,m442,DAT,superficial,DAT superficial,somas,250,80,0.018750000000000003,0.43333333333333335,0.34101221109338425,0.03470545489596047,0.3426439610605039,-0.049651811641800596
237,m442,DAT,superficial,DAT superficial,groups,380,80,0.018750000000000003,0.43333333333333335,0.3310998183105407,0.02986474132891161,0.33355819368562406,-0.05220563562560511
201,m472,DAT,superficial,DAT superficial,somas,301,73,0.14473684210526316,-0.15263157894736842,0.00931045816153348,0.3615691961616848,-0.07902953513416415,0.36889910904339684
201,m472,DAT,superficial,DAT superficial,groups,467,73,0.14473684210526316,-0.21929824561403505,0.01926650397055769,0.35828608894582736,-0.06716983309077386,0.36328959131168415
202,m496,DAT,superficial,DAT superficial,somas,214,78,0.5263157894736842,-0.23884810841332585,-0.016397453435590636,0.12960829493087558,-0.015463482486874642,0.12442042053439065
