group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,f0_vs_pupil_rho,f0_vs_speed_rho,f0_vs_respiration_rho
175,m442,DAT,superficial,DAT superficial,somas,g1,88,0.0390625,,0.14563479985262784,-0.003082003302415249
175,m442,DAT,superficial,DAT superficial,somas,g2,88,0.0390625,,0.1400344790201674,0.3610963126346918
175,m442,DAT,superficial,DAT superficial,somas,g3,88,0.0390625,,0.21297094088543916,0.2175718217030742
175,m442,DAT,superficial,DAT superficial,somas,g4,88,0.0390625,,0.329254767934243,0.21682333518677335
175,m442,DAT,superficial,DAT superficial,somas,g5,88,0.0390625,,0.28658649677291476,0.28963786463726393
175,m442,DAT,superficial,DAT superficial,somas,g6,88,0.0390625,,0.059548608284681344,0.12719867915253794
175,m442,DAT,superficial,DAT superficial,somas,g7,88,0.0390625,,0.3447063617901022,0.20555200882365474
175,m442,DAT,superficial,DAT superficial,somas,g8,88,0.0390625,,0.37826418977043585,0.22105888829666406
175,m442,DAT,superficial,DAT superficial,somas,g9,88,0.0390625,,0.16431429516467685,0.22191304349761912
175,m442,DAT,superficial,DAT superficial,somas,g10,88,0.0390625,,0.19356825453675744,0.19762685747458694
175,m442,DAT,superficial,DAT superficial,somas,g11,88,0.0390625,,0.4008242223522213,0.2687682994180521
175,m442,DAT,superficial,DAT superficial,somas,g12,88,0.0390625,,0.3799663345273884,0.24138249864516229
175,m442,DAT,superficial,DAT superficial,somas,g13,88,0.0390625,,0.3116688785800288,0.285437534422258
175,m442,DAT,superficial,DAT superficial,somas,g14,88,0.0390625,,0.37541552263833394,0.3396719868210452
175,m442,DAT,superficial,DAT superficial,somas,g15,88,0.0390625,,0.07017598876202748,0.03733626857783044
175,m442,DAT,superficial,DAT superficial,somas,g16,88,0.0390625,,0.07295410067104327,0.13710511833887265
175,m442,DAT,superficial,DAT superficial,somas,g17,88,0.0390625,,0.3259827694636244,0.3438547055886087
175,m442,DAT,superficial,DAT superficial,somas,g18,88,0.0390625,,0.28415234157644376,0.20732195929161318
175,m442,DAT,superficial,DAT superficial,somas,g19,88,0.0390625,,0.3211761948908828,0.17674848653165393
175,m442,DAT,superficial,DAT superficial,somas,g20,88,0.0390625,,0.18877049936690163,0.20278701157520215
175,m442,DAT,superficial,DAT superficial,somas,g21,88,0.0390625,,0.15912848626784737,0.1359691799788396
175,m442,DAT,superficial,DAT superficial,somas,g22,88,0.0390625,,0.3180717650750937,0.23862630712043092
175,m442,DAT,superficial,DAT superficial,somas,g23,88,0.0390625,,0.3219434829419443,0.19227297745210561
175,m442,DAT,superficial,DAT superficial,somas,g24,88,0.0390625,,-0.3133533845312098,0.02141552008992539
175,m442,DAT,superficial,DAT superficial,somas,g25,88,0.0390625,,0.2484249404862121,-0.042029719321222805
175,m442,DAT,superficial,DAT superficial,somas,g26,88,0.0390625,,0.4218408594289979,0.2805767749281631
175,m442,DAT,superficial,DAT superficial,somas,g27,88,0.0390625,,0.3590114332708122,0.16420913595268447
175,m442,DAT,superficial,DAT superficial,somas,g28,88,0.0390625,,0.06312046645341593,0.09633461750977951
175,m442,DAT,superficial,DAT superficial,somas,g29,88,0.0390625,,-0.26004891348964965,0.23116785912858606
175,m442,DAT,superficial,DAT superficial,somas,g30,88,0.0390625,,0.22156103929617368,0.20234672538914286
175,m442,DAT,superficial,DAT superficial,somas,g31,88,0.0390625,,0.3112367278386263,0.3269477160439308
175,m442,DAT,superficial,DAT superficial,somas,g32,88,0.0390625,,0.3406670752684222,0.33293560817433754
175,m442,DAT,superficial,DAT superficial,somas,g33,88,0.0390625,,-0.13776789247852597,0.11340891580515998
175,m442,DAT,superficial,DAT superficial,somas,g34,88,0.0390625,,0.24637883901671478,0.3003456246822266
175,m442,DAT,superficial,DAT superficial,somas,g35,88,0.0390625,,0.3628302347203482,0.08636653825739647
175,m442,DAT,superficial,DAT superficial,somas,g36,88,0.0390625,,0.2498095867392771,0.2966824436142131
175,m442,DAT,superficial,DAT superficial,somas,g37,88,0.0390625,,0.1487392296684169,0.1168431480564227
175,m442,DAT,superficial,DAT superficial,somas,g38,88,0.0390625,,0.014005211782593896,-0.10057897634339134
175,m442,DAT,superficial,DAT superficial,somas,g39,88,0.0390625,,0.25545400458616635,0.2959955971639605
175,m442,DAT,superficial,DAT superficial,somas,g40,88,0.0390625,,0.3078677159362643,0.24618161807320893
175,m442,DAT,superficial,DAT superficial,somas,g41,88,0.0390625,,0.33969694095098807,0.20443368191106404
175,m442,DAT,superficial,DAT superficial,somas,g42,88,0.0390625,,0.2994628249861308,0.30020473310268764
175,m442,DAT,superficial,DAT superficial,somas,g43,88,0.0390625,,0.38990580157964494,0.34689268027241804
175,m442,DAT,superficial,DAT superficial,somas,g44,88,0.0390625,,0.4740693633184948,0.2978359934216884
175,m442,DAT,superficial,DAT superficial,somas,g45,88,0.0390625,,0.16856524735561532,0.138443588344493
175,m442,DAT,superficial,DAT superficial,somas,g46,88,0.0390625,,0.06412587838239307,0.27972261972720797
175,m442,DAT,superficial,DAT superficial,somas,g47,88,0.0390625,,0.24938625540076043,0.2812019813123673
175,m442,DAT,superficial,DAT superficial,somas,g48,88,0.0390625,,0.32781720526386343,0.06664171712193888
175,m442,DAT,superficial,DAT superficial,somas,g49,88,0.0390625,,0.055262378482199837,0.14866703358479041
175,m442,DAT,superficial,DAT superficial,somas,g50,88,0.0390625,,0.24121066892565682,0.29621574025699016
175,m442,DAT,superficial,DAT superficial,somas,g51,88,0.0390625,,0.3505977229177929,0.3035685195641808
175,m442,DAT,superficial,DAT superficial,somas,g52,88,0.0390625,,0.4267797250450259,0.3428948817029994
175,m442,DAT,superficial,DAT superficial,somas,g53,88,0.0390625,,0.3803102912399332,0.17084865163845903
175,m442,DAT,superficial,DAT superficial,somas,g54,88,0.0390625,,-0.41146924163533893,-0.38671216293962307
175,m442,DAT,superficial,DAT superficial,somas,g55,88,0.0390625,,0.14709000132877897,0.2964799119686258
175,m442,DAT,superficial,DAT superficial,somas,g56,88,0.0390625,,0.1656989414177419,0.3171645569896927
175,m442,DAT,superficial,DAT superficial,somas,g57,88,0.0390625,,0.03947564731668154,0.10634672538076846
175,m442,DAT,superficial,DAT superficial,somas,g58,88,0.0390625,,-0.14527320433431148,0.03456246560565672
175,m442,DAT,superficial,DAT superficial,somas,g59,88,0.0390625,,0.27217559245757567,0.2954760594644105
175,m442,DAT,superficial,DAT superficial,somas,g60,88,0.0390625,,0.3698416600145309,0.29802091361983335
175,m442,DAT,superficial,DAT superficial,somas,g61,88,0.0390625,,0.1087608763872468,-0.13737809577422944
175,m442,DAT,superficial,DAT superficial,somas,g62,88,0.0390625,,0.2799719446085914,0.2873307650223131
