group_id,mouse,line,depth_class,cohort,compartment,arousal_measure,q10_z_high,q10_z_low,q90_z_high,q90_z_low,central80_width_z_high,central80_width_z_low,negative_tail_high_minus_low,positive_tail_high_minus_low,width_high_minus_low
175,m442,DAT,superficial,DAT superficial,groups,running,-1.7734928823491152,-1.6471707703076666,2.6321825547966506,1.7012133405912846,4.405675437145766,3.348384110898951,-0.1263221120414486,0.930969214205366,1.057291326246815
175,m442,DAT,superficial,DAT superficial,somas,running,-1.8666042799685203,-1.773642641473908,2.9383766211759803,1.7195688438340722,4.8049809011445,3.49321148530798,-0.09296163849461236,1.2188077773419081,1.3117694158365198
177,m442,DAT,superficial,DAT superficial,groups,running,-1.6461027361981573,-1.4647461923544838,1.9528197999915198,1.620972161352538,3.5989225361896775,3.085718353707022,-0.1813565438436735,0.3318476386389817,0.5132041824826556
177,m442,DAT,superficial,DAT superficial,somas,running,-1.882860077922443,-1.6393843589586294,2.3189995587902392,1.7197969714234391,4.201859636712682,3.359181330382069,-0.24347571896381348,0.5992025873668001,0.8426783063306136
196,m472,DAT,superficial,DAT superficial,groups,running,-1.5340385016827347,-1.6838495989756026,2.3117809386596755,1.6109020978843893,3.8458194403424097,3.294751696859992,0.1498110972928679,0.7008788407752862,0.5510677434824176
196,m472,DAT,superficial,DAT superficial,somas,running,-1.5452077598325331,-1.7225140936855738,2.33602955898145,1.5924329629766683,3.8812373188139833,3.3149470566622425,0.17730633385304073,0.7435965960047817,0.5662902621517407
199,m465,TH,superficial,TH superficial,groups,pupil_dilation,-1.8768227389563477,-1.6890185873170807,2.765041358284398,1.3046046981218122,4.641864097240745,2.993623285438893,-0.187804151639267,1.4604366601625856,1.6482408118018523
199,m465,TH,superficial,TH superficial,groups,running,-1.8290398877728884,-1.5399969262809252,2.954938212612871,1.4001052693486498,4.783978100385759,2.9401021956295748,-0.2890429614919632,1.5548329432642214,1.843875904756184
199,m465,TH,superficial,TH superficial,somas,pupil_dilation,-2.9558292198101688,-1.9777717498621594,4.734130344910846,1.359594307081838,7.689959564721014,3.3373660569439974,-0.9780574699480094,3.3745360378290084,4.352593507777017
199,m465,TH,superficial,TH superficial,somas,running,-2.9261731658286467,-1.7817934032869909,5.040050051177788,1.487072267471289,7.966223217006435,3.26886567075828,-1.1443797625416559,3.552977783706499,4.697357546248155
201,m472,DAT,superficial,DAT superficial,groups,pupil_dilation,-1.0855212081433285,-1.2334715376680614,2.282323702037026,1.8967805838991374,3.3678449101803545,3.1302521215671986,0.14795032952473286,0.3855431181378888,0.23759278861315591
201,m472,DAT,superficial,DAT superficial,groups,running,-1.4561487787313265,-1.74519840731266,2.189935436146503,1.4021592150037523,3.64608421487783,3.1473576223164126,0.28904962858133354,0.7877762211427508,0.49872659256141727
201,m472,DAT,superficial,DAT superficial,somas,pupil_dilation,-1.0433392929933245,-1.2218174547989102,2.4211448598621437,1.9410042766374094,3.4644841528554684,3.1628217314363196,0.17847816180558573,0.4801405832247343,0.3016624214191488
201,m472,DAT,superficial,DAT superficial,somas,running,-1.4783509046220575,-1.841442561167995,2.3103396286707643,1.4439937632010558,3.7886905332928222,3.2854363243690505,0.36309165654593745,0.8663458654697085,0.5032542089237717
202,m496,DAT,superficial,DAT superficial,groups,pupil_dilation,-1.7139855184113857,-1.5348713236615115,1.4072339575590531,1.7615531186537527,3.1212194759704386,3.296424442315264,-0.17911419474987422,-0.35431916109469963,-0.1752049663448254
202,m496,DAT,superficial,DAT superficial,groups,running,-1.7286290260488526,-1.4670484656605993,1.7248655763135952,1.6205479338029538,3.4534946023624475,3.087596399463553,-0.2615805603882533,0.10431764251064135,0.36589820289889463
202,m496,DAT,superficial,DAT superficial,somas,pupil_dilation,-1.7638816687475807,-1.605184698543574,1.4516634227544116,1.7505762928275357,3.2155450915019923,3.35576099137111,-0.15869697020400664,-0.29891287007312406,-0.14021589986911787
202,m496,DAT,superficial,DAT superficial,somas,running,-1.801997064958557,-1.5095510162499843,1.7716299747844098,1.655089004988011,3.573627039742967,3.164640021237995,-0.2924460487085727,0.11654096979639883,0.408987018504972
203,m462,TH,deep,TH deep,groups,running,-1.1964408615460962,-1.2816179342155252,1.5896743845161607,1.3268953359327023,2.786115246062257,2.6085132701482276,0.08517707266942898,0.26277904858345846,0.17760197591402926
203,m462,TH,deep,TH deep,somas,running,-1.2835657806407124,-1.4273439900929465,1.7869173879112228,1.3861883190857716,3.070483168551935,2.813532309178718,0.14377820945223418,0.40072906882545123,0.2569508593732168
204,m465,TH,deep,TH deep,groups,pupil_dilation,-1.2951118625245688,-1.1886493173315849,1.315314427817453,1.3368466097746132,2.610426290342022,2.525495927106198,-0.10646254519298393,-0.021532181957160335,0.08493036323582404
204,m465,TH,deep,TH deep,groups,running,-1.1761662289435457,-1.272316288630534,1.5640205630326076,1.3237121531620701,2.740186791976153,2.5960284417926043,0.0961500596869882,0.24030840987053748,0.14415835018354883
204,m465,TH,deep,TH deep,somas,pupil_dilation,-1.5000343406295724,-1.3245348286564935,1.3447508532221775,1.3391163141735403,2.8447851938517497,2.663651142830034,-0.1754995119730789,0.005634539048637199,0.18113405102171587
204,m465,TH,deep,TH deep,somas,running,-1.2858692411074049,-1.4590228113375316,1.8902005264015351,1.3145758087457997,3.17606976750894,2.773598620083331,0.17315357023012679,0.5756247176557354,0.40247114742560886
205,m357,TH,deep,TH deep,groups,pupil_dilation,-1.3654519205185371,-1.1811280138061415,1.3723771892701184,1.3999717394343156,2.7378291097886556,2.581099753240457,-0.18432390671239562,-0.027594550164197207,0.15672935654819842
205,m357,TH,deep,TH deep,groups,running,-1.2281163373746846,-1.2850636146569394,1.5226394123261215,1.343665218860779,2.750755749700806,2.628728833517718,0.05694727728225479,0.1789741934653426,0.12202691618308803
205,m357,TH,deep,TH deep,somas,pupil_dilation,-1.4014854724681687,-1.2507086052329073,1.2937851320908627,1.415174014364105,2.6952706045590316,2.6658826195970122,-0.1507768672352614,-0.1213888822732423,0.02938798496201933
205,m357,TH,deep,TH deep,somas,running,-1.3113245521371275,-1.3710852411694525,1.5728378978435913,1.3688084643412959,2.884162449980719,2.7398937055107484,0.05976068903232501,0.2040294335022954,0.1442687444699704
212,m462,TH,deep,TH deep,groups,running,-1.260288528741867,-1.5292295120319748,2.0184228600446663,1.3033372018772655,3.278711388786533,2.83256671390924,0.26894098329010774,0.7150856581674008,0.44614467487729303
212,m462,TH,deep,TH deep,somas,running,-1.4563315625074627,-1.7116200257292884,2.435863429937391,1.335361945151677,3.892194992444854,3.046981970880965,0.25528846322182575,1.100501484785714,0.8452130215638887
226,m465,TH,superficial,TH superficial,groups,pupil_dilation,-1.183157621873702,-1.4759510050083149,1.5017985320761293,1.4247971770387622,2.6849561539498312,2.900748182047077,0.2927933831346128,0.07700135503736716,-0.21579202809724585
226,m465,TH,superficial,TH superficial,groups,running,-1.2688902581082298,-1.3499436007588732,1.7791987699396827,1.3210736982186393,3.0480890280479125,2.6710172989775125,0.08105334265064346,0.45812507172104344,0.3770717290704
226,m465,TH,superficial,TH superficial,somas,pupil_dilation,-1.3425802807838365,-1.6868617080095942,1.5483940492290702,1.7066351753755147,2.8909743300129067,3.393496883385109,0.3442814272257577,-0.15824112614644448,-0.5025225533722022
226,m465,TH,superficial,TH superficial,somas,running,-1.3889740323038111,-1.5679893851110953,2.1797403998841816,1.3477966671666055,3.5687144321879924,2.9157860522777006,0.1790153528072842,0.831943732717576,0.6529283799102918
227,m496,DAT,superficial,DAT superficial,groups,pupil_dilation,-1.3649837788846568,-1.4222854641939804,1.938175101875377,1.356366649805643,3.3031588807600336,2.778652113999623,0.05730168530932356,0.581808452069734,0.5245067667604104
227,m496,DAT,superficial,DAT superficial,groups,running,-1.4930113986675968,-1.3439525882990928,1.7647155955400515,1.2495433704264407,3.257726994207648,2.5934959587255335,-0.149058810368504,0.5151722251136108,0.6642310354821146
227,m496,DAT,superficial,DAT superficial,somas,pupil_dilation,-1.444597251736018,-1.5020547156227255,2.109877607029646,1.3772392320708557,3.5544748587656643,2.879293947693581,0.05745746388670758,0.7326383749587904,0.6751809110720832
227,m496,DAT,superficial,DAT superficial,somas,running,-1.583973744565758,-1.421301118359042,1.9250660956044927,1.263793789117651,3.509039840170251,2.685094907476693,-0.16267262620671596,0.6612723064868418,0.823944932693558
228,m466,TH,deep,TH deep,groups,pupil_dilation,-1.172927391467338,-1.108047218468033,1.390853851799317,1.3617467540266137,2.563781243266655,2.4697939724946467,-0.06488017299930493,0.02910709777270326,0.09398727077200819
228,m466,TH,deep,TH deep,groups,running,-1.1424435258315937,-1.2027803829243173,1.414678444340531,1.2522253879729426,2.5571219701721244,2.4550057708972597,0.06033685709272363,0.16245305636758833,0.1021161992748647
228,m466,TH,deep,TH deep,somas,pupil_dilation,-1.3053165776082554,-1.2141827201861104,1.6374880079181557,1.4289488617843666,2.942804585526411,2.643131581970477,-0.09113385742214497,0.2085391461337891,0.29967300355593407
228,m466,TH,deep,TH deep,somas,running,-1.3145356069665544,-1.338467465335336,1.585363955006794,1.2757534982681709,2.8998995619733483,2.614220963603507,0.023931858368781533,0.3096104567386231,0.2856785983698411
233,m465,TH,deep,TH deep,groups,pupil_dilation,-1.3953418793256875,-1.2016431565681551,1.623375142422923,1.518380765230009,3.0187170217486106,2.720023921798164,-0.19369872275753242,0.10499437719291405,0.2986930999504467
233,m465,TH,deep,TH deep,groups,running,-1.485471119591634,-1.3330087556047157,1.7535142718816366,1.3831630976595144,3.2389853914732702,2.71617185326423,-0.15246236398691826,0.37035117422212216,0.5228135382090402
233,m465,TH,deep,TH deep,somas,pupil_dilation,-1.836504230024338,-1.3205878502347024,2.2818461258949783,1.5097614288764722,4.118350355919317,2.8303492791111746,-0.5159163797896356,0.772084697018506,1.288001076808142
233,m465,TH,deep,TH deep,somas,running,-1.8674117622889332,-1.5414017451340665,2.674265532489841,1.4006820533924285,4.541677294778775,2.942083798526495,-0.32601001715486677,1.2735834790974123,1.5995934962522798
235,m466,TH,superficial,TH superficial,groups,running,-1.2889391582018028,-1.595861791849909,2.101995007430488,1.3605837137820131,3.39093416563229,2.9564455056319217,0.3069226336481061,0.7414112936484747,0.43448866000036857
235,m466,TH,superficial,TH superficial,somas,running,-1.6817527687801064,-2.105929039827795,3.371176635147007,1.5180240842224837,5.052929403927113,3.6239531240502787,0.4241762710476886,1.8531525509245235,1.4289762798768342
236,m496,DAT,superficial,DAT superficial,groups,running,-1.3103526963885082,-1.2483361171427492,1.4002193336126008,1.4019866975312825,2.710572030001109,2.6503228146740314,-0.062016579245758985,-0.001767363918681708,0.06024921532707772
236,m496,DAT,superficial,DAT superficial,somas,running,-1.405552541579606,-1.322442890826859,1.4796308268540097,1.4520440456117139,2.8851833684336157,2.774486936438573,-0.0831096507527469,0.027586781242295855,0.11069643199504275
237,m442,DAT,superficial,DAT superficial,groups,running,-1.7154014950079934,-2.061234429744675,2.9094466737966513,1.5825888404151065,4.624848168804645,3.643823270159782,0.34583293473668175,1.3268578333815448,0.9810248986448631
237,m442,DAT,superficial,DAT superficial,somas,running,-1.9329778759842988,-2.1897481788456417,3.1277338407253117,1.632556033298897,5.060711716709611,3.8223042121445383,0.25677030286134284,1.4951778074264146,1.2384075045650729
238,m466,TH,deep,TH deep,groups,pupil_dilation,-1.192482854035251,-1.1612509678885,1.2530955262176733,1.225333508780766,2.4455783802529245,2.386584476669266,-0.031231886146751098,0.027762017436907316,0.058993903583658636
238,m466,TH,deep,TH deep,groups,running,-1.1496086478940737,-1.1981722301823534,1.2220317956642983,1.2208792616590536,2.371640443558372,2.4190514918414068,0.04856358228827973,0.001152534005244732,-0.047411048283034773
238,m466,TH,deep,TH deep,somas,pupil_dilation,-1.2925055544084367,-1.1890330151190047,1.297147335013437,1.1921648567335528,2.5896528894218735,2.3811978718525575,-0.10347253928943201,0.10498247827988427,0.20845501756931606
238,m466,TH,deep,TH deep,somas,running,-1.1535666905254618,-1.3195697081027398,1.2851310614265503,1.180413088092457,2.438697751952012,2.499982796195197,0.16600301757727798,0.10471797333409327,-0.06128504424318493
244,m466,TH,superficial,TH superficial,groups,pupil_dilation,-1.794188053903331,-1.7404111293883637,2.5535501818262354,1.5563697471669617,4.347738235729566,3.2967808765553253,-0.053776924514967295,0.9971804346592736,1.050957359174241
244,m466,TH,superficial,TH superficial,groups,running,-1.7811691291022342,-1.714889831365506,2.916326441549942,1.5121611166080504,4.697495570652176,3.2270509479735567,-0.06627929773672814,1.4041653249418917,1.4704446226786194
244,m466,TH,superficial,TH superficial,somas,pupil_dilation,-2.3327897489815497,-1.862964832262932,3.2020433452573362,1.6800916353520206,5.534833094238885,3.5430564676149525,-0.4698249167186177,1.5219517099053157,1.9917766266239325
244,m466,TH,superficial,TH superficial,somas,running,-2.513421670352146,-1.8592183896410166,3.7233034384364956,1.6304455877646913,6.236725108788641,3.489663977405708,-0.6542032807111293,2.0928578506718045,2.747061131382933
