mouse,date,exp,group_id,population,objective,depth_class,depth_um,depth_raw,protocol,treatment,log_file,objective_log,metadata_flag,inclusion_status,exclusion_reason,postprocessing_qc,grouped_path,available
m442,20260706,e1,175,DAT-GCaMP,20x,superficial,77.3,77.3 um from surface,"16 odor passive, 4s odors",pre/post ket/xyl,20260706/m442/20260706_m442_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260706/m442/e1/processed/python/group175_20260706_m442_e1_processed_20260825_pertrial_median_20x_grouped.h5,True
m442,20260708,e1,177,DAT-GCaMP,20x,superficial,70,70 um,"16 odor passive, 4s odors",pre/post ket/xyl,20260708/m442/20260708_m442_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260708/m442/e1/processed/python/group177_20260708_m442_e1_processed_20260827_pertrial_median_20x_grouped.h5,True
m357,20260710,e1,205,TH-GCaMP,20x,deep,200,~200,"16 odor passive, 4s odors",pre/post ket/xyl,20260710/m357/20260710_m357_Log_in_vivo.xlsx,20x,depth_approximate,,,,/Volumes/MossLab/ImagingData/20260710/m357/e1/processed/python/group205_20260710_m357_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m462,20260721,e1,212,TH-GCaMP,20x,deep,160,-160,"16 odor passive, 4s odors",pre/post ket/xyl,20260721/m462/20260721_m462_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260721/m462/e1/processed/python/group212_20260721_m462_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m472,20260721,e1,196,DAT-GCaMP,20x,superficial,58,-58,"16 odor passive, 4s odors",pre/post ket/xyl,20260721/m472/20260721_m472_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260721/m472/e1/processed/python/group196_20260721_m472_e1_processed_20260825_pertrial_median_20x_grouped.h5,True
m465,20260723,e1,233,TH-GCaMP,20x,deep,,,"16 odor passive, 4s odors",pre/post ket/xyl,20260723/m465/20260723_m465_Log_in_vivo.xlsx,20x,depth_not_recorded,,,,/Volumes/MossLab/ImagingData/20260723/m465/e1/processed/python/group233_20260723_m465_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m466,20260723,e1,228,TH-GCaMP,20x,deep,148,-148,"16 odor passive, 4s odors",pre/post ket/xyl,20260723/m466/20260723_m466_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260723/m466/e1/processed/python/group228_20260723_m466_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m465,20260727,e1,199,TH-GCaMP,20x,superficial,54,-54,"16 odor passive, 4s odors",pre/post ket/xyl,20260727/m465/20260727_m465_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260727/m465/e1/processed/python/group199_20260727_m465_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m466,20260727,e1,200,TH-GCaMP,20x,superficial,55,-55,"16 odor passive, 4s odors",pre/post ket/xyl,20260727/m466/20260727_m466_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260727/m466/e1/processed/python/group200_20260727_m466_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m442,20260728,e1,237,DAT-GCaMP,20x,superficial,55,-55,"16 odor passive, 4s odors",pre/post ket/xyl,20260728/m442/20260728_m442_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260728/m442/e1/processed/python/group237_20260728_m442_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m472,20260728,e1,201,DAT-GCaMP,20x,superficial,53,-53,"16 odor passive, 4s odors",pre/post ket/xyl,20260728/m472/20260728_m472_Log_in_vivo_2.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260728/m472/e1/processed/python/group201_20260728_m472_e1_processed_20260825_pertrial_median_20x_grouped.h5,True
m496,20260728,e1,202,DAT-GCaMP,20x,superficial,,,"16 odor passive, 4s odors",pre/post ket/xyl,20260728/m496/20260728_m496_Log_in_vivo.xlsx,,depth_not_recorded,,,,/Volumes/MossLab/ImagingData/20260728/m496/e1/processed/python/group202_20260728_m496_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m462,20260730,e1,203,TH-GCaMP,20x,deep,110,-110,"16 odor passive, 4s odors",pre/post ket/xyl,20260730/m462/20260730_m462_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260730/m462/e1/processed/python/group203_20260730_m462_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m465,20260730,e1,204,TH-GCaMP,20x,deep,120,-120,"16 odor passive, 4s odors",pre/post ket/xyl,20260730/m465/20260730_m465_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260730/m465/e1/processed/python/group204_20260730_m465_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m466,20260730,e1,238,TH-GCaMP,20x,deep,135,-135,"16 odor passive, 4s odors",pre/post ket/xyl,20260730/m466/20260730_m466_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260730/m466/e1/processed/python/group238_20260730_m466_e1_processed_20260825_pertrial_median_20x_grouped.h5,True
m357,20260811,e1,225,TH-GCaMP,20x,superficial,55,-55,"16 odor passive, 4s odors",pre/post ket/xyl,20260811/m357/20260811_m357_Log_in_vivo.xlsx,20x,objective_mismatch_manifest_20x_log_10x,,,,/Volumes/MossLab/ImagingData/20260811/m357/e1/processed/python/group225_20260811_m357_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m465,20260811,e1,226,TH-GCaMP,20x,superficial,65,-65,"16 odor passive, 4s odors",pre/post ket/xyl,20260811/m465/20260811_m465_m_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260811/m465/e1/processed/python/group226_20260811_m465_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m496,20260811,e1,227,DAT-GCaMP,20x,superficial,73,-73,"16 odor passive, 4s odors",pre/post ket/xyl,20260811/m496/20260811_m496_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260811/m496/e1/processed/python/group227_20260811_m496_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m466,20260814,e1,235,TH-GCaMP,20x,superficial,66,-66,"16 odor passive, 4s odors",pre/post ket/xyl,20260814/m466/20260814_m466_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260814/m466/e1/processed/python/group235_20260814_m466_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m496,20260814,e1,236,DAT-GCaMP,20x,superficial,75,-75,"16 odor passive, 4s odors",pre/post ket/xyl,20260814/m496/20260814_m496_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260814/m496/e1/processed/python/group236_20260814_m496_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
m466,20260821,e1,244,TH-GCaMP,20x,superficial,67,-67,"16 odor passive, 4s odors",pre/post ket/xyl,20260821/m466/NEW LOG_20260821_m466_Log_in_vivo.xlsx,20x,,,,,/Volumes/MossLab/ImagingData/20260821/m466/e1/processed/python/group244_20260821_m466_e1_processed_20260826_pertrial_median_20x_grouped.h5,True
