group_id,mouse,line,depth_class,cohort,compartment,n_units,n_awake_trials,median_pupil_coverage,population_f0_vs_pupil_rho,population_f0_vs_speed_rho,population_f0_vs_respiration_rho,population_f0_vs_speed_given_respiration_rho,population_f0_vs_respiration_given_speed_rho
186,m472,DAT,na,DAT,units,124,108,0.2536231884057971,,0.0027682678849614006,-0.45194805194805193,-0.229501235585267,-0.428858583603614
206,m462,TH,na,TH,units,62,112,0.0070921985815602835,,0.026990958290600733,0.12364793440993743,-0.0738682939756597,0.1412371524551987
187,m472,DAT,na,DAT,units,85,112,0.7626050420168067,-0.2369645690111052,0.07059900889935129,-0.017583095999692502,0.017896114509136956,-0.023489821833080828
189,m465,TH,na,TH,units,40,109,0.0945945945945946,-0.11067193675889328,0.14087340870664358,0.040511455395467875,0.1353773971925275,-0.009731488175333309
190,m472,DAT,na,DAT,units,163,112,0.0,,0.28160549158057774,0.11748767531457244,0.2573224882850002,0.050213641119242806
195,m466,TH,na,TH,units,118,112,1.0,0.28970126070151353,0.2692418679802705,0.3404805117539756,0.09668190916354953,0.2555039668851409
215,m496,DAT,na,DAT,units,205,79,0.36752136752136755,-0.21023359288097884,0.13795612396917478,0.26616923032583245,0.04501655680426075,0.23396340073816863
218,m496,DAT,na,DAT,units,195,80,0.0,,0.16955414397885885,-0.31913043478260866,-0.003964914032129067,-0.3016614148531764
222,m496,DAT,na,DAT,units,205,80,0.9913793103448276,0.2682843472317157,0.12812982756659608,0.2120734415967124,0.08228280123007978,0.18870199175659313
229,m357,TH,na,TH,units,74,80,0.9916666666666667,-0.08614489687995767,0.07432784146883761,0.14782608695652172,0.03781107878393511,0.14312297115442207
