mouse,date,exp,group_id,population,objective,depth_class,depth_um,depth_raw,protocol,treatment,log_file,objective_log,metadata_flag,inclusion_status,exclusion_reason,postprocessing_qc,grouped_path,available
m472,20260626,e1,193,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260626/m472/e1/processed/python/group193_20260626_m472_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m472,20260630,e1,186,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260630/m472/e1/processed/python/group186_20260630_m472_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m462,20260713,e1,206,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260713/m462/e1/processed/python/group206_2026_07_13_m462_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m472,20260713,e1,187,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260713/m472/e1/processed/python/group187_20260713_m472_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m465,20260714,e1,189,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260714/m465/e1/processed/python/group189_20260714_m465_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m472,20260714,e1,190,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260714/m472/e1/processed/python/group190_20260714_m472_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m466,20260716,e1,195,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260716/m466/e1/processed/python/group195_20260716_m466_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m462,20260717,e1,231,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260717/m462/e1/processed/python/group231_20260717_m462_e1_processed_20260828_pertrial_median_10x_grouped.h5,True
m465,20260717,e1,232,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260717/m465/e1/processed/python/group232_20260717_m465_e1_processed_20260828_pertrial_median_10x_grouped.h5,True
m472,20260717,e1,230,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260717/m472/e1/processed/python/group230_20260717_m472_e1_processed_20260828_pertrial_median_10x_grouped.h5,True
m496,20260803,e1,215,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260803/m496/e1/processed/python/group215_20260803_m496_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m496,20260805,e1,218,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260805/m496/e1/processed/python/group218_20260805_m496_e1_processed_20260827_pertrial_median_10x_grouped.h5,True
m357,20260806,e1,219,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260806/m357/e1/processed/python/group219_20260806_m357_e1_processed_20260828_pertrial_median_10x_grouped.h5,True
m496,20260807,e1,222,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260807/m496/e1/processed/python/group222_20260807_m496_e1_processed_20260828_pertrial_median_10x_grouped.h5,True
m357,20260810,e1,229,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,,/Volumes/MossLab/ImagingData/20260810/m357/e1/processed/python/group229_20260810_m357_e1_processed_20260828_pertrial_median_10x_grouped.h5,True
