group_id,mouse,line,depth_class,cohort,compartment,unit_id,n_awake_trials,median_pupil_coverage,f0_vs_pupil_rho,f0_vs_speed_rho,f0_vs_respiration_rho
202,m496,DAT,superficial,DAT superficial,somas,g1,78,0.531578947368421,-0.5347826086956522,-0.12916011153100015,-0.38052035330261136
202,m496,DAT,superficial,DAT superficial,somas,g2,78,0.531578947368421,-0.034782608695652174,0.05516199866055007,0.2969950076804916
202,m496,DAT,superficial,DAT superficial,somas,g3,78,0.531578947368421,-0.27652173913043476,-0.21682488582414236,0.2023809523809524
202,m496,DAT,superficial,DAT superficial,somas,g4,78,0.531578947368421,0.18869565217391301,0.12127256808909327,0.21241359447004612
202,m496,DAT,superficial,DAT superficial,somas,g5,78,0.531578947368421,0.06521739130434781,0.011405819663176137,0.16868279569892475
202,m496,DAT,superficial,DAT superficial,somas,g6,78,0.531578947368421,-0.1252173913043478,-0.02840023693414459,-0.179531490015361
202,m496,DAT,superficial,DAT superficial,somas,g7,78,0.531578947368421,-0.2904347826086956,0.025707548995844653,-0.0823252688172043
202,m496,DAT,superficial,DAT superficial,somas,g8,78,0.531578947368421,-0.22,-0.007227072815531427,0.3387096774193548
202,m496,DAT,superficial,DAT superficial,somas,g9,78,0.531578947368421,-0.48869565217391303,-0.0647896281757923,-0.22196620583717358
202,m496,DAT,superficial,DAT superficial,somas,g10,78,0.531578947368421,0.021739130434782605,0.08348602744549749,0.1282642089093702
202,m496,DAT,superficial,DAT superficial,somas,g11,78,0.531578947368421,-0.2069565217391304,0.02401826835530743,-0.15178571428571427
202,m496,DAT,superficial,DAT superficial,somas,g12,78,0.531578947368421,-0.3556521739130434,0.12199654550646635,0.004896313364055299
202,m496,DAT,superficial,DAT superficial,somas,g13,78,0.531578947368421,0.09999999999999999,0.004356565862438101,0.18385176651305685
202,m496,DAT,superficial,DAT superficial,somas,g14,78,0.531578947368421,-0.0008695652173913043,-0.05333300307981804,0.023473502304147468
202,m496,DAT,superficial,DAT superficial,somas,g15,78,0.531578947368421,0.1643478260869565,0.2288149679644968,0.3180203533026114
202,m496,DAT,superficial,DAT superficial,somas,g16,78,0.531578947368421,-0.03739130434782608,-0.12667064532389266,-0.01622503840245776
202,m496,DAT,superficial,DAT superficial,somas,g17,78,0.531578947368421,-0.1252173913043478,-0.05972178625418061,0.16436251920122888
202,m496,DAT,superficial,DAT superficial,somas,g18,78,0.531578947368421,-0.13739130434782607,-0.11460435503434108,0.111463133640553
