group_id,mouse,line,state,pair,n_a,n_b,integrated_crossnobis,spatiotemporal_crossnobis,integrated_cosine
193,m472,DAT,pre,17-18,4,8,-0.07482278559777161,-0.02379995237571715,0.024882733821868896
193,m472,DAT,pre,31-32,4,8,0.12299707931107048,-0.003893226003426542,0.024405360221862793
193,m472,DAT,pre,39-40,7,5,0.5968130114538241,0.5012329416968874,0.17970985174179077
193,m472,DAT,post,17-18,8,5,-0.09645197120689296,0.01902483817952631,0.02599877119064331
193,m472,DAT,post,31-32,6,9,0.07342082050804333,0.05767000219669793,0.05405282974243164
193,m472,DAT,post,39-40,6,7,0.08860391137135577,0.09317872989244406,0.06404614448547363
186,m472,DAT,pre,17-18,14,5,0.9217021363689921,0.5083085006045219,0.03241610527038574
186,m472,DAT,pre,31-32,11,4,-0.06393369657803397,0.12744591821835957,0.01478278636932373
186,m472,DAT,pre,39-40,6,7,0.2744382084551963,0.3905524775127086,0.05947214365005493
186,m472,DAT,post,17-18,6,6,0.5728108808383314,0.4042039992302245,0.07810342311859131
186,m472,DAT,post,31-32,3,5,0.05140768705720696,0.20884820444836366,0.06607615947723389
186,m472,DAT,post,39-40,5,8,0.05165147485748574,0.05193805783224712,0.03888070583343506
206,m462,TH,pre,17-18,4,7,0.17757870734928632,0.1619876754205767,0.023796021938323975
206,m462,TH,pre,31-32,5,7,0.08253584135225027,0.30361810626820074,0.004852116107940674
206,m462,TH,pre,39-40,9,10,1.0949402652094977,1.1069810705355934,0.07562851905822754
206,m462,TH,post,17-18,6,6,-0.18274218750439,-0.14606825293906517,0.008487522602081299
206,m462,TH,post,31-32,7,8,-0.11960217841325628,-0.08562836635379785,0.005308032035827637
206,m462,TH,post,39-40,6,3,0.4854762108972373,0.5320081464382705,0.023895680904388428
187,m472,DAT,pre,17-18,5,8,-0.1049787965192526,-0.053899251890707225,0.01559901237487793
187,m472,DAT,pre,31-32,7,7,0.2803840419517521,0.21200811085301166,0.0069585442543029785
187,m472,DAT,pre,39-40,9,9,1.3547423961427663,0.9453975024164584,0.10945886373519897
187,m472,DAT,post,17-18,8,5,0.6363733409973252,0.5229547815088745,0.07655942440032959
187,m472,DAT,post,31-32,10,10,0.28525961515330944,0.2471465515753055,0.011145412921905518
187,m472,DAT,post,39-40,6,10,0.25869253698997485,0.23160006139916028,0.04155886173248291
189,m465,TH,pre,17-18,6,4,-0.228157461818625,-0.08456654209366475,0.08616214990615845
189,m465,TH,pre,31-32,4,7,0.9638827796669749,0.8143966063773143,0.0041405558586120605
189,m465,TH,pre,39-40,8,7,0.3619668360214326,0.33307620137508437,0.3952949643135071
189,m465,TH,post,17-18,5,8,0.6569532886496194,0.47360773361048397,0.028804540634155273
189,m465,TH,post,31-32,5,3,0.02418053678215386,0.0907013084316926,0.020961403846740723
189,m465,TH,post,39-40,10,7,-0.022265491086632425,0.010945400509330834,0.058931171894073486
190,m472,DAT,pre,17-18,11,7,0.3384737263699188,0.29763431559117676,0.024047434329986572
190,m472,DAT,pre,31-32,7,8,0.056616122415375045,0.07702386711738682,0.011584937572479248
190,m472,DAT,pre,39-40,11,4,1.7333716040532146,1.0579807128530978,0.1475120186805725
190,m472,DAT,post,17-18,8,9,0.11480227389199153,0.11634133315274495,0.012916266918182373
190,m472,DAT,post,31-32,8,6,-0.0019212151120160713,0.019566739924323076,0.028135359287261963
190,m472,DAT,post,39-40,5,5,0.4553572031937397,0.412873812482672,0.04197728633880615
195,m466,TH,pre,17-18,3,6,-0.08072667106522352,0.1334700219085426,0.08186990022659302
195,m466,TH,pre,31-32,8,8,-0.1303924569550797,-0.0437356682748981,0.004671275615692139
195,m466,TH,pre,39-40,8,7,0.2925229522768473,0.2133924350025747,0.10807347297668457
195,m466,TH,post,17-18,5,8,-0.19099052950667253,-0.14484561453938213,0.018968820571899414
195,m466,TH,post,31-32,6,7,0.050675127932932565,0.032626069109015124,0.007019996643066406
195,m466,TH,post,39-40,11,5,0.15295710188151032,0.039156659639142354,0.08181518316268921
231,m462,TH,pre,17-18,4,5,0.25125942275939905,0.3919073314749024,0.09160488843917847
231,m462,TH,pre,31-32,6,4,-0.25718036640041925,-0.16427940612457725,0.006523847579956055
231,m462,TH,pre,39-40,9,6,0.019435289793718155,0.027088727975784755,0.014549672603607178
231,m462,TH,post,17-18,6,6,1.0069827804389204,0.7340921900315603,0.037120163440704346
231,m462,TH,post,31-32,5,6,0.23565444363070517,0.15157029019971432,0.014511823654174805
231,m462,TH,post,39-40,9,8,0.5572531158346204,0.35973565679819663,0.00806879997253418
232,m465,TH,pre,17-18,13,6,-0.06782324779630285,-0.07365370939739861,0.009991705417633057
232,m465,TH,pre,31-32,8,3,0.014845612343194871,-0.07146019371785098,0.0046520233154296875
