group_id,mouse,line,available,status
191,m357,TH,False,FileNotFoundError: no current grouped product
193,m472,DAT,True,included
186,m472,DAT,True,included
206,m462,TH,True,included
187,m472,DAT,True,included
189,m465,TH,True,included
190,m472,DAT,True,included
195,m466,TH,True,included
231,m462,TH,True,included
232,m465,TH,True,included
230,m472,DAT,True,ValueError: 'post' is not in list
213,m392,Thy1,True,included
214,m426,Thy1,True,included
215,m496,DAT,True,included
216,m392,Thy1,True,included
217,m426,Thy1,True,included
218,m496,DAT,True,included
219,m357,TH,True,included
220,m392,Thy1,True,included
221,m426,Thy1,True,included
222,m496,DAT,True,included
229,m357,TH,True,included
223,m392,Thy1,True,included
224,m426,Thy1,True,included
