group_id,mouse,line,depth_class,cohort,compartment,unit_id,state,baseline_f,f0_log2_post_pre
175,m442,DAT,superficial,DAT superficial,somas,g1,post,5445.263671875,-1.501087593589017
175,m442,DAT,superficial,DAT superficial,somas,g2,post,2253.12939453125,-2.043472691907716
175,m442,DAT,superficial,DAT superficial,somas,g3,post,2020.5804443359375,-2.3572014689934733
175,m442,DAT,superficial,DAT superficial,somas,g4,post,3817.538818359375,-1.7563801006814996
175,m442,DAT,superficial,DAT superficial,somas,g5,post,2504.122802734375,-1.7844285404278453
175,m442,DAT,superficial,DAT superficial,somas,g6,post,3901.1494140625,-2.2083230554084685
175,m442,DAT,superficial,DAT superficial,somas,g7,post,7555.07470703125,-0.7550173323587118
175,m442,DAT,superficial,DAT superficial,somas,g8,post,5036.267578125,-1.3557395100989056
175,m442,DAT,superficial,DAT superficial,somas,g9,post,1868.2552490234375,-2.5527775048246513
175,m442,DAT,superficial,DAT superficial,somas,g10,post,1665.77587890625,-2.2084492225902395
175,m442,DAT,superficial,DAT superficial,somas,g11,post,3979.963623046875,-2.0657956509835973
175,m442,DAT,superficial,DAT superficial,somas,g12,post,3241.651611328125,-1.224357529468581
175,m442,DAT,superficial,DAT superficial,somas,g13,post,5565.21435546875,-0.5750769156098766
175,m442,DAT,superficial,DAT superficial,somas,g14,post,3528.40234375,-1.5635247861057195
175,m442,DAT,superficial,DAT superficial,somas,g15,post,4203.41455078125,-1.8166950063624878
175,m442,DAT,superficial,DAT superficial,somas,g16,post,1392.8533935546875,-3.1559752980499916
175,m442,DAT,superficial,DAT superficial,somas,g17,post,2079.818359375,-1.747072135766615
175,m442,DAT,superficial,DAT superficial,somas,g18,post,4489.8515625,-1.6255143135363377
175,m442,DAT,superficial,DAT superficial,somas,g19,post,2827.843017578125,-1.754337443229662
175,m442,DAT,superficial,DAT superficial,somas,g20,post,3595.04052734375,-1.190436916663972
175,m442,DAT,superficial,DAT superficial,somas,g21,post,2496.937255859375,-2.0250166690864564
175,m442,DAT,superficial,DAT superficial,somas,g22,post,3246.296875,-1.8308291146828277
175,m442,DAT,superficial,DAT superficial,somas,g23,post,1658.5352783203125,-2.557368363289365
175,m442,DAT,superficial,DAT superficial,somas,g24,post,3214.1728515625,-1.7395974928853106
