group_id,mouse,line,depth_class,compartment,state,pair,n_a,n_b,integrated_crossnobis,integrated_null_z,integrated_cosine,spatiotemporal_crossnobis,spatiotemporal_null_z,time_s,one_second_crossnobis,cumulative_crossnobis
199,m465,TH,superficial,somas,pre,17-18,2,4,-0.3631966229997793,-0.7992855357289457,0.12049716711044312,-0.05273785945260775,-0.8105511978789911,1.0,0.43464109156826675,0.42783855503710505
199,m465,TH,superficial,somas,pre,17-18,2,4,-0.3631966229997793,-0.7992855357289457,0.12049716711044312,-0.05273785945260775,-0.8105511978789911,2.0,0.5602778679879693,0.4966799787457184
199,m465,TH,superficial,somas,pre,17-18,2,4,-0.3631966229997793,-0.7992855357289457,0.12049716711044312,-0.05273785945260775,-0.8105511978789911,3.0,-0.7655753364716665,0.01336940364538893
199,m465,TH,superficial,somas,pre,17-18,2,4,-0.3631966229997793,-0.7992855357289457,0.12049716711044312,-0.05273785945260775,-0.8105511978789911,4.0,-0.6585430746321836,-0.5516091625571095
199,m465,TH,superficial,somas,pre,39-40,5,6,-0.15237343275942158,-0.6821465875726752,0.09868824481964111,-0.18910006397496862,-0.6426751580655773,1.0,-0.14913504675517203,-0.14970488997040213
199,m465,TH,superficial,somas,pre,39-40,5,6,-0.15237343275942158,-0.6821465875726752,0.09868824481964111,-0.18910006397496862,-0.6426751580655773,2.0,-0.19923237185472556,-0.2868262100088666
199,m465,TH,superficial,somas,pre,39-40,5,6,-0.15237343275942158,-0.6821465875726752,0.09868824481964111,-0.18910006397496862,-0.6426751580655773,3.0,-0.19903808685459576,-0.2661405972157682
199,m465,TH,superficial,somas,pre,39-40,5,6,-0.15237343275942158,-0.6821465875726752,0.09868824481964111,-0.18910006397496862,-0.6426751580655773,4.0,-0.15582128774840978,-0.1296403414368327
199,m465,TH,superficial,somas,post,17-18,6,6,0.04469790296789876,-0.7254126375760861,0.08570539951324463,0.03969450692732416,-0.9023746796905491,1.0,0.11999180082291772,0.11524188738968134
199,m465,TH,superficial,somas,post,17-18,6,6,0.04469790296789876,-0.7254126375760861,0.08570539951324463,0.03969450692732416,-0.9023746796905491,2.0,0.03685621812519477,0.09756762642116161
199,m465,TH,superficial,somas,post,17-18,6,6,0.04469790296789876,-0.7254126375760861,0.08570539951324463,0.03969450692732416,-0.9023746796905491,3.0,-0.0035904204564499516,0.04552202908187535
199,m465,TH,superficial,somas,post,17-18,6,6,0.04469790296789876,-0.7254126375760861,0.08570539951324463,0.03969450692732416,-0.9023746796905491,4.0,0.012905661908136903,0.046428988125113986
199,m465,TH,superficial,somas,post,31-32,7,4,0.05905788521996095,-0.2084017399371119,0.10196709632873535,0.07179512428070832,-0.6759586271266886,1.0,0.011570395873836325,0.014159884189206847
199,m465,TH,superficial,somas,post,31-32,7,4,0.05905788521996095,-0.2084017399371119,0.10196709632873535,0.07179512428070832,-0.6759586271266886,2.0,0.030794402483229847,0.06110526118585442
199,m465,TH,superficial,somas,post,31-32,7,4,0.05905788521996095,-0.2084017399371119,0.10196709632873535,0.07179512428070832,-0.6759586271266886,3.0,0.07147159878406366,0.17047070495397648
199,m465,TH,superficial,somas,post,31-32,7,4,0.05905788521996095,-0.2084017399371119,0.10196709632873535,0.07179512428070832,-0.6759586271266886,4.0,0.1644414378326143,0.06677141468388287
199,m465,TH,superficial,somas,post,39-40,6,8,0.18405645653515307,1.3332730819919738,0.11673939228057861,0.11046857503515703,0.41965751297699244,1.0,0.06375735319611639,0.07517407235199935
199,m465,TH,superficial,somas,post,39-40,6,8,0.18405645653515307,1.3332730819919738,0.11673939228057861,0.11046857503515703,0.41965751297699244,2.0,0.07981258835247178,0.10737717278211333
199,m465,TH,superficial,somas,post,39-40,6,8,0.18405645653515307,1.3332730819919738,0.11673939228057861,0.11046857503515703,0.41965751297699244,3.0,0.06869285804793053,0.13500126478390878
199,m465,TH,superficial,somas,post,39-40,6,8,0.18405645653515307,1.3332730819919738,0.11673939228057861,0.11046857503515703,0.41965751297699244,4.0,0.26823467553002367,0.16408822315092778
199,m465,TH,superficial,processes,pre,17-18,2,4,-0.26503843786688086,-0.8876761582221937,0.20178455114364624,0.6439185791179696,-0.26698404348441296,1.0,2.69156885366666,2.7098720781551937
199,m465,TH,superficial,processes,pre,17-18,2,4,-0.26503843786688086,-0.8876761582221937,0.20178455114364624,0.6439185791179696,-0.26698404348441296,2.0,0.5244285872967357,1.0402135370734649
199,m465,TH,superficial,processes,pre,17-18,2,4,-0.26503843786688086,-0.8876761582221937,0.20178455114364624,0.6439185791179696,-0.26698404348441296,3.0,-0.40416912810009703,0.3386885878298874
199,m465,TH,superficial,processes,pre,17-18,2,4,-0.26503843786688086,-0.8876761582221937,0.20178455114364624,0.6439185791179696,-0.26698404348441296,4.0,-0.36163783146196576,-0.3552964588286734
199,m465,TH,superficial,processes,pre,39-40,5,6,0.015834116454587308,-0.4097064516750463,0.242121160030365,-0.04534378258544588,-0.4127811273138779,1.0,-0.007016643778161267,-0.034747582862432284
199,m465,TH,superficial,processes,pre,39-40,5,6,0.015834116454587308,-0.4097064516750463,0.242121160030365,-0.04534378258544588,-0.4127811273138779,2.0,-0.07369225257394388,-0.11196397887886309
199,m465,TH,superficial,processes,pre,39-40,5,6,0.015834116454587308,-0.4097064516750463,0.242121160030365,-0.04534378258544588,-0.4127811273138779,3.0,-0.04444056967010939,-0.03324901436418601
199,m465,TH,superficial,processes,pre,39-40,5,6,0.015834116454587308,-0.4097064516750463,0.242121160030365,-0.04534378258544588,-0.4127811273138779,4.0,0.052343747971359246,0.03687889056081919
199,m465,TH,superficial,processes,post,17-18,6,6,0.14532041856535868,0.6662973278604061,0.05925029516220093,0.13302532534455097,1.2360689896059973,1.0,0.15754696057675951,0.16621769420148197
199,m465,TH,superficial,processes,post,17-18,6,6,0.14532041856535868,0.6662973278604061,0.05925029516220093,0.13302532534455097,1.2360689896059973,2.0,0.12675148127254238,0.1555160854865885
199,m465,TH,superficial,processes,post,17-18,6,6,0.14532041856535868,0.6662973278604061,0.05925029516220093,0.13302532534455097,1.2360689896059973,3.0,0.06679806785345094,0.12123485144030957
199,m465,TH,superficial,processes,post,17-18,6,6,0.14532041856535868,0.6662973278604061,0.05925029516220093,0.13302532534455097,1.2360689896059973,4.0,0.17482134882178021,0.1523278636095643
199,m465,TH,superficial,processes,post,31-32,7,4,0.06738072731155935,-0.1769689082781206,0.09326314926147461,0.12193712903162938,-0.08245440609216215,1.0,0.14184815775021528,0.1477300055433674
199,m465,TH,superficial,processes,post,31-32,7,4,0.06738072731155935,-0.1769689082781206,0.09326314926147461,0.12193712903162938,-0.08245440609216215,2.0,0.16889819623756652,0.17558894503518394
199,m465,TH,superficial,processes,post,31-32,7,4,0.06738072731155935,-0.1769689082781206,0.09326314926147461,0.12193712903162938,-0.08245440609216215,3.0,0.1542772410322626,0.15838172164910838
199,m465,TH,superficial,processes,post,31-32,7,4,0.06738072731155935,-0.1769689082781206,0.09326314926147461,0.12193712903162938,-0.08245440609216215,4.0,0.007286353075265253,0.0695326160593387
199,m465,TH,superficial,processes,post,39-40,6,8,0.06155352028597905,0.09596500608539273,0.07209831476211548,0.05420722101951098,-0.1461507776205331,1.0,0.07372515982151112,0.07968654674870966
199,m465,TH,superficial,processes,post,39-40,6,8,0.06155352028597905,0.09596500608539273,0.07209831476211548,0.05420722101951098,-0.1461507776205331,2.0,0.05751060570439104,0.027573838492214543
199,m465,TH,superficial,processes,post,39-40,6,8,0.06155352028597905,0.09596500608539273,0.07209831476211548,0.05420722101951098,-0.1461507776205331,3.0,0.04111774065262667,0.04150285065484379
199,m465,TH,superficial,processes,post,39-40,6,8,0.06155352028597905,0.09596500608539273,0.07209831476211548,0.05420722101951098,-0.1461507776205331,4.0,0.07192336628283438,0.0407414961567644
201,m472,DAT,superficial,somas,pre,17-18,5,2,1.0873925684788228,0.8820748721322687,0.8830572962760925,0.8100631308371,0.2701101666025362,1.0,1.011499395223287,1.0158462739967407
201,m472,DAT,superficial,somas,pre,17-18,5,2,1.0873925684788228,0.8820748721322687,0.8830572962760925,0.8100631308371,0.2701101666025362,2.0,0.06608483281828507,0.3842831022669774
201,m472,DAT,superficial,somas,pre,17-18,5,2,1.0873925684788228,0.8820748721322687,0.8830572962760925,0.8100631308371,0.2701101666025362,3.0,1.0068322242835863,0.6954564993908968
201,m472,DAT,superficial,somas,pre,17-18,5,2,1.0873925684788228,0.8820748721322687,0.8830572962760925,0.8100631308371,0.2701101666025362,4.0,1.2461190339363422,1.0526396064209582
201,m472,DAT,superficial,somas,pre,31-32,7,4,0.5853324732299607,2.267895533864074,0.04972797632217407,0.555980587403758,2.670846533623773,1.0,0.745224944460767,0.7383336994795973
201,m472,DAT,superficial,somas,pre,31-32,7,4,0.5853324732299607,2.267895533864074,0.04972797632217407,0.555980587403758,2.670846533623773,2.0,0.640539281573941,0.8145532799584034
201,m472,DAT,superficial,somas,pre,31-32,7,4,0.5853324732299607,2.267895533864074,0.04972797632217407,0.555980587403758,2.670846533623773,3.0,0.5782064601749387,0.7914047680365836
201,m472,DAT,superficial,somas,pre,31-32,7,4,0.5853324732299607,2.267895533864074,0.04972797632217407,0.555980587403758,2.670846533623773,4.0,0.22009205547521843,0.5751812802712987
201,m472,DAT,superficial,somas,pre,39-40,6,5,-0.052792989974053496,-0.5428964384393802,0.11820214986801147,0.24426891875550552,0.4787843400242669,1.0,0.6219519376510539,0.592925582350148
201,m472,DAT,superficial,somas,pre,39-40,6,5,-0.052792989974053496,-0.5428964384393802,0.11820214986801147,0.24426891875550552,0.4787843400242669,2.0,0.23138611805977405,0.5308517456455221
201,m472,DAT,superficial,somas,pre,39-40,6,5,-0.052792989974053496,-0.5428964384393802,0.11820214986801147,0.24426891875550552,0.4787843400242669,3.0,-0.05817689795388263,0.042541924994560755
201,m472,DAT,superficial,somas,pre,39-40,6,5,-0.052792989974053496,-0.5428964384393802,0.11820214986801147,0.24426891875550552,0.4787843400242669,4.0,0.17817756769031956,-0.024604285582282708
