group_id,mouse,line,depth_class,cohort,compartment,odor_family,arousal_metric,neural_metric,rho,n_trials
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,pupil_odor_z,q10_z,,0
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,pupil_odor_z,q90_z,,0
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,pupil_odor_z,response_width_z,,0
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,pupil_change_z,q10_z,,0
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,pupil_change_z,q90_z,,0
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,pupil_change_z,response_width_z,,0
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,running_speed,q10_z,,7
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,running_speed,q90_z,,7
175,m442,DAT,superficial,DAT superficial,groups,components 4/10,running_speed,response_width_z,,7
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,pupil_odor_z,q10_z,,2
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,pupil_odor_z,q90_z,,2
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,pupil_odor_z,response_width_z,,2
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,pupil_change_z,q10_z,,2
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,pupil_change_z,q90_z,,2
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,pupil_change_z,response_width_z,,2
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,running_speed,q10_z,-0.29940656547831473,8
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,running_speed,q90_z,0.13173888881045848,8
175,m442,DAT,superficial,DAT superficial,groups,mixtures 17/18,running_speed,response_width_z,0.7425282823862205,8
175,m442,DAT,superficial,DAT superficial,groups,other,pupil_odor_z,q10_z,,5
175,m442,DAT,superficial,DAT superficial,groups,other,pupil_odor_z,q90_z,,5
175,m442,DAT,superficial,DAT superficial,groups,other,pupil_odor_z,response_width_z,,5
