mouse,date,exp,group_id,population,objective,depth_class,depth_um,depth_raw,protocol,treatment,log_file,objective_log,metadata_flag,inclusion_status,exclusion_reason,postprocessing_qc
m357,20260623,e1,191,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m472,20260626,e1,193,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m472,20260630,e1,186,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m442,20260706,e1,175,DAT-GCaMP,20x,superficial,77.3,77.3 um from surface,"16 odor passive, 4s odors",pre/post ket/xyl,20260706/m442/20260706_m442_Log_in_vivo.xlsx,20x,,,,
m357,20260707,e1,176,TH-GCaMP,20x,superficial,103,-103,"16 odor passive, 4s odors",pre/post ket/xyl,20260707/m357/20260707_m357_Log_in_vivo.xlsx,20x,,,,
m442,20260708,e1,177,DAT-GCaMP,20x,superficial,70,70 um,"16 odor passive, 4s odors",pre/post ket/xyl,20260708/m442/20260708_m442_Log_in_vivo.xlsx,20x,,,,
m357,20260710,e1,205,TH-GCaMP,20x,deep,200,~200,"16 odor passive, 4s odors",pre/post ket/xyl,20260710/m357/20260710_m357_Log_in_vivo.xlsx,20x,depth_approximate,,,
m462,20260713,e1,206,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m472,20260713,e1,187,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m465,20260714,e1,189,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m472,20260714,e1,190,DAT-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m466,20260716,e1,195,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m462,20260717,e1,231,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
m465,20260717,e1,232,TH-GCaMP,10x,na,,,"16 odor passive, 4s odors",pre/post ket/xyl,,,,,,
