panel,vial_position,odor_id,mix_name,component_a_odor_id,component_a_ppm,component_b_odor_id,component_b_ppm,odor_sccm,total_sccm
panel_16,1,1,,1,0.3,,,200.0,1500.0
panel_16,2,2,,2,0.3,,,200.0,1500.0
panel_16,3,0,,0,,,,200.0,1500.0
panel_16,4,17,alpha,4,44.2,10,13.3,200.0,1500.0
panel_16,5,18,alpha',4,29.4,10,19.9,200.0,1500.0
panel_16,6,39,lambda,3,1.0,12,0.6,200.0,1500.0
panel_16,7,40,lambda',3,0.6,12,1.0,200.0,1500.0
panel_16,8,21,,21,1.0,,,200.0,1500.0
panel_16,9,22,,22,1.0,,,200.0,1500.0
panel_16,10,31,epsilon,22,1.0,30,0.6,200.0,1500.0
panel_16,11,32,epsilon',22,0.6,30,1.0,200.0,1500.0
panel_16,12,30,,30,1.0,,,200.0,1500.0
panel_16,13,3,,3,1.0,,,200.0,1500.0
panel_16,14,12,,12,1.0,,,200.0,1500.0
panel_16,15,4,,4,1.0,,,200.0,1500.0
panel_16,16,10,,10,1.0,,,200.0,1500.0
panel_12,1,1,,1,0.2162,,,250.0,1500.0
panel_12,2,2,,2,0.3282,,,250.0,1500.0
panel_12,3,0,,0,,,,250.0,1500.0
panel_12,4,17,alpha,4,44.2117,10,13.218,250.0,1500.0
panel_12,5,18,alpha',4,29.4745,10,19.8271,250.0,1500.0
panel_12,6,19,beta,8,0.4558,12,5.5107,250.0,1500.0
panel_12,7,20,beta',8,0.3039,12,8.2661,250.0,1500.0
panel_12,8,21,,21,24.0888,,,100.0,1500.0
panel_12,9,22,,22,0.1913,,,100.0,1500.0
panel_12,10,29,,29,1.85,,,100.0,1500.0
panel_12,11,30,,30,0.4591,,,100.0,1500.0
panel_12,13,3,,3,0.7593,,,100.0,1500.0
panel_7,1,1,,1,0.2162,,,250.0,1500.0
panel_7,2,2,,2,0.3282,,,250.0,1500.0
panel_7,3,0,,0,,,,250.0,1500.0
panel_7,4,17,alpha,4,44.2117,10,13.218,250.0,1500.0
panel_7,5,18,alpha',4,29.4745,10,19.8271,250.0,1500.0
panel_7,6,19,beta,8,0.4558,12,5.5107,250.0,1500.0
panel_7,7,20,beta',8,0.3039,12,8.2661,250.0,1500.0
