unit_id,unit_type,group_id,trial_id,trial_index,odor_id,block,epoch,available,response_mean_z,response_peak_positive_z,response_peak_negative_z
s1,soma,,0,0,39,pre,odor,True,2.1286611557006836,5.687845230102539,-1.794716477394104
s1,soma,,1,1,17,pre,odor,True,-4.69443941116333,0.7511376142501831,-10.172892570495605
s1,soma,,2,2,32,pre,odor,True,7.010565280914307,11.933073043823242,-0.025592781603336334
s1,soma,,3,3,32,pre,odor,True,10.601675987243652,15.818672180175781,-3.253722667694092
s1,soma,,4,4,30,pre,odor,True,6.36242151260376,13.924925804138184,-3.590535879135132
s1,soma,,5,5,40,pre,odor,True,2.8260498046875,7.703281879425049,-1.3924955129623413
s1,soma,,6,6,3,pre,odor,True,4.750310897827148,8.908831596374512,0.024384615942835808
s1,soma,,7,7,2,pre,odor,True,3.9986979961395264,7.815253257751465,-0.9340059161186218
s1,soma,,8,8,1,pre,odor,True,2.7148056030273438,5.519982814788818,-2.3482918739318848
s1,soma,,9,9,4,pre,odor,True,1.7668427228927612,5.9431633949279785,-3.1674749851226807
s1,soma,,10,10,31,pre,odor,True,2.2723708152770996,8.613883018493652,-3.682715654373169
s1,soma,,11,11,21,pre,odor,True,6.759565353393555,11.891130447387695,-1.6825820207595825
s1,soma,,12,12,2,pre,odor,True,0.4254100024700165,3.3315024375915527,-2.0628855228424072
s1,soma,,13,13,39,pre,odor,True,-1.2010939121246338,3.0171401500701904,-4.983198165893555
s1,soma,,14,14,1,pre,odor,True,2.7261738777160645,7.655412673950195,-3.7044010162353516
s1,soma,,15,15,12,pre,odor,True,-2.335357904434204,4.8778228759765625,-6.390164375305176
s1,soma,,16,16,22,pre,odor,True,0.7688274383544922,6.6531782150268555,-3.0354983806610107
s1,soma,,17,17,10,pre,odor,True,1.972562313079834,9.519694328308105,-3.6893441677093506
s1,soma,,18,18,17,pre,odor,True,-1.3219679594039917,3.1039719581604004,-5.695191860198975
s1,soma,,19,19,31,pre,odor,True,-1.0640590190887451,1.2155882120132446,-4.441000461578369
s1,soma,,20,20,30,pre,odor,True,0.0698801651597023,2.08435320854187,-2.243129014968872
s1,soma,,21,21,12,pre,odor,True,1.0764210224151611,4.240666389465332,-0.8789055943489075
s1,soma,,22,22,22,pre,odor,True,-0.04394993185997009,1.6453121900558472,-2.0517871379852295
s1,soma,,23,23,4,pre,odor,True,2.076643466949463,4.681737422943115,-1.7869958877563477
s1,soma,,24,24,0,pre,odor,True,3.3479442596435547,9.834959030151367,-2.8827126026153564
s1,soma,,25,25,3,pre,odor,True,2.7790627479553223,6.073692321777344,-2.2958364486694336
s1,soma,,26,26,40,pre,odor,True,-0.5271977782249451,6.361547470092773,-5.901984214782715
s1,soma,,27,27,10,pre,odor,True,3.1632535457611084,4.978579521179199,-2.0598888397216797
s1,soma,,28,28,21,pre,odor,True,4.907525062561035,8.255424499511719,-0.7775793671607971
s1,soma,,29,29,18,pre,odor,True,-1.6644409894943237,1.7621214389801025,-4.06599235534668
s1,soma,,30,30,18,pre,odor,True,-2.7129857540130615,-0.88930743932724,-4.8183488845825195
s1,soma,,31,31,0,pre,odor,True,3.0870449542999268,6.624690055847168,-1.1608179807662964
s1,soma,,32,32,12,post,odor,True,1.7479616403579712,4.134342670440674,-1.1359009742736816
