unit_id,unit_type,group_id,trial_id,trial_index,odor_id,block,epoch,available,response_mean_z,response_peak_positive_z,response_peak_negative_z
p237,process,,0,0,39,pre,odor,True,-0.13302172720432281,2.5846190452575684,-2.324228286743164
p237,process,,1,1,17,pre,odor,True,-0.7694514989852905,2.116076946258545,-2.7991726398468018
p237,process,,2,2,32,pre,odor,True,3.271451950073242,6.489146709442139,-0.6549216508865356
p237,process,,3,3,32,pre,odor,True,2.9888436794281006,9.818694114685059,-1.6258217096328735
p237,process,,4,4,30,pre,odor,True,0.6316081285476685,5.289632797241211,-1.7454279661178589
p237,process,,5,5,40,pre,odor,True,1.6741801500320435,7.800070285797119,-1.6690540313720703
p237,process,,6,6,3,pre,odor,True,2.177058458328247,9.022541999816895,-1.9373432397842407
p237,process,,7,7,2,pre,odor,True,2.242985248565674,5.693643569946289,-1.617897629737854
p237,process,,8,8,1,pre,odor,True,0.3494556248188019,3.130678176879883,-2.771801233291626
p237,process,,9,9,4,pre,odor,True,2.169900417327881,7.174184322357178,-0.506061315536499
p237,process,,10,10,31,pre,odor,True,1.537839412689209,6.103941440582275,-1.5217171907424927
p237,process,,11,11,21,pre,odor,True,0.295874685049057,4.423336982727051,-1.64384925365448
p237,process,,12,12,2,pre,odor,True,1.016220211982727,4.090089797973633,-1.019421100616455
p237,process,,13,13,39,pre,odor,True,0.6403311491012573,3.8159780502319336,-1.4560619592666626
p237,process,,14,14,1,pre,odor,True,0.1504436582326889,4.2158660888671875,-2.547146797180176
p237,process,,15,15,12,pre,odor,True,1.1391087770462036,8.72447395324707,-1.656412959098816
p237,process,,16,16,22,pre,odor,True,1.3149632215499878,6.314777374267578,-1.869128942489624
p237,process,,17,17,10,pre,odor,True,2.5697038173675537,9.01654052734375,-1.8785675764083862
p237,process,,18,18,17,pre,odor,True,0.6235933303833008,6.295726299285889,-3.238144636154175
p237,process,,19,19,31,pre,odor,True,0.4023456871509552,3.4796223640441895,-1.535742998123169
p237,process,,20,20,30,pre,odor,True,0.39717766642570496,4.183333396911621,-1.4325330257415771
p237,process,,21,21,12,pre,odor,True,0.05950869619846344,3.0486092567443848,-1.5401408672332764
p237,process,,22,22,22,pre,odor,True,0.0786958858370781,1.9693140983581543,-1.7788121700286865
p237,process,,23,23,4,pre,odor,True,0.06890459358692169,2.134693145751953,-1.713405728340149
p237,process,,24,24,0,pre,odor,True,0.054471053183078766,3.1076362133026123,-1.8801789283752441
p237,process,,25,25,3,pre,odor,True,0.21264728903770447,2.9313435554504395,-1.5579115152359009
p237,process,,26,26,40,pre,odor,True,-0.2819180488586426,1.9369601011276245,-2.0295252799987793
p237,process,,27,27,10,pre,odor,True,0.31190869212150574,3.2539219856262207,-1.682321310043335
p237,process,,28,28,21,pre,odor,True,0.033007364720106125,4.052846908569336,-2.253880500793457
p237,process,,29,29,18,pre,odor,True,0.09922599792480469,2.777987241744995,-1.948635458946228
p237,process,,30,30,18,pre,odor,True,-0.37646517157554626,1.4065568447113037,-2.1544182300567627
p237,process,,31,31,0,pre,odor,True,0.04727340489625931,2.01637601852417,-1.459511160850525
p237,process,,32,32,12,post,odor,True,-0.09015867114067078,2.6077656745910645,-1.5440651178359985
p237,process,,33,33,18,post,odor,True,-0.05493559315800667,3.0215671062469482,-1.8310232162475586
p237,process,,34,34,40,post,odor,True,0.41451263427734375,3.31510329246521,-1.6362112760543823
p237,process,,35,35,32,post,odor,True,-0.2131415754556656,4.047766208648682,-1.7894353866577148
p237,process,,36,36,31,post,odor,True,-0.1203489676117897,1.7727389335632324,-1.5294431447982788
p237,process,,37,37,0,post,odor,True,0.017820589244365692,3.0736966133117676,-1.4063936471939087
p237,process,,38,38,4,post,odor,True,-0.44176533818244934,2.056802988052368,-2.0880799293518066
p237,process,,39,39,2,post,odor,True,-0.09828237444162369,3.5039355754852295,-1.4380152225494385
p237,process,,40,40,3,post,odor,True,-0.1923261284828186,1.6425518989562988,-1.381913185119629
p237,process,,41,41,21,post,odor,True,0.07287304848432541,2.8292057514190674,-1.5997875928878784
p237,process,,42,42,31,post,odor,True,-0.3630811274051666,1.3623616695404053,-1.5700194835662842
