unit_id,unit_type,group_id,odor_id,block,epoch,n_trials,mean_response_z,median_response_z,response_q25,response_q75,response_ci95_low,response_ci95_high
s1,soma,,39,pre,odor,2.0,0.4692160487174988,0.4692160487174988,-0.3622501790523529,1.3006822764873505,-20.660344193799695,21.598776291234692
s1,soma,,17,pre,odor,2.0,-2.991051733493805,-2.991051733493805,-3.840540200471878,-2.141563266515732,-24.578600498378947,18.596497031391337
s1,soma,,32,pre,odor,2.0,8.814468622207642,8.814468622207642,7.906811594963074,9.72212564945221,-14.251283414586702,31.880220659001985
s1,soma,,30,pre,odor,2.0,3.2301868200302124,3.2301868200302124,1.651191771030426,4.809181869029999,-36.895881919964744,43.35625556002517
s1,soma,,40,pre,odor,2.0,1.1590028703212738,1.1590028703212738,0.32262398302555084,1.9953817576169968,-20.095399887665597,22.413405628308144
s1,soma,,3,pre,odor,2.0,3.7772083282470703,3.7772083282470703,3.28178334236145,4.27263331413269,-8.812734275911223,16.367150932405366
s1,soma,,2,pre,odor,2.0,2.21749946475029,2.21749946475029,1.3209055215120316,3.1140934079885483,-20.567112951248713,25.002111880749293
s1,soma,,1,pre,odor,2.0,2.7194162607192993,2.7194162607192993,2.7160072922706604,2.7228252291679382,2.6327861586241674,2.806046362814431
s1,soma,,4,pre,odor,2.0,1.9276255369186401,1.9276255369186401,1.8465542197227478,2.0086968541145325,-0.1325919721260962,3.9878430459633765
s1,soma,,31,pre,odor,2.0,0.6162052154541016,0.6162052154541016,-0.2216956615447998,1.454106092453003,-20.676874968082636,21.90928539899084
s1,soma,,21,pre,odor,2.0,5.850488901138306,5.850488901138306,5.3848806619644165,6.316097140312195,-5.981738326448154,17.682716128724763
s1,soma,,12,pre,odor,2.0,-0.6235736608505249,-0.6235736608505249,-1.4722155928611755,0.22506827116012573,-22.189609932510866,20.942462610809816
s1,soma,,22,pre,odor,2.0,0.36054479889571667,0.36054479889571667,0.15859293658286333,0.56249666120857,-4.771538619902036,5.492628217693469
s1,soma,,10,pre,odor,2.0,2.5758115649223328,2.5758115649223328,2.2810348570346832,2.8705882728099823,-4.915174838829739,10.066797968674404
s1,soma,,0,pre,odor,2.0,3.2208999395370483,3.2208999395370483,3.150982916355133,3.2908169627189636,1.4441399173504725,4.997659961723624
s1,soma,,18,pre,odor,2.0,-2.1683189272880554,-2.1683189272880554,-2.430775612592697,-1.9058622419834137,-8.837975683005155,4.501337828429045
s1,soma,,12,post,odor,2.0,1.6502829790115356,1.6502829790115356,1.5974445343017578,1.7031214237213135,0.30753078616456797,2.9930351718585033
s1,soma,,18,post,odor,2.0,1.0579054355621338,1.0579054355621338,1.0217089653015137,1.094101905822754,0.1380659118455384,1.9777449592787293
s1,soma,,40,post,odor,2.0,0.40297698974609375,0.40297698974609375,0.37036603689193726,0.43558794260025024,-0.42574589746721203,1.2316998769593996
s1,soma,,32,post,odor,2.0,0.6166175603866577,0.6166175603866577,0.5092833936214447,0.7239517271518707,-2.11100223582437,3.3442373565976853
s1,soma,,31,post,odor,2.0,0.5889876931905746,0.5889876931905746,0.5048966780304909,0.6730787083506584,-1.5479676170030139,2.725943003384163
s1,soma,,0,post,odor,2.0,0.44032861292362213,0.44032861292362213,0.34483175724744797,0.5358254685997963,-1.9864765868411687,2.867133812688413
s1,soma,,4,post,odor,2.0,1.1394876539707184,1.1394876539707184,0.899409756064415,1.3795655518770218,-4.961470192885155,7.240445500826592
s1,soma,,2,post,odor,2.0,1.0311911404132843,1.0311911404132843,0.9748565405607224,1.0875257402658463,-0.4004067785009733,2.462789059327542
s1,soma,,3,post,odor,2.0,1.5438995957374573,1.5438995957374573,1.3876136243343353,1.7001855671405792,-2.427703504342564,5.515502695817478
s1,soma,,21,post,odor,2.0,2.799981117248535,2.799981117248535,2.5904732942581177,3.0094889402389526,-2.524117468244449,8.124079702741518
s1,soma,,1,post,odor,2.0,0.14161612838506699,0.14161612838506699,0.10961006209254265,0.17362219467759132,-0.6717351338397208,0.9549673906098548
s1,soma,,22,post,odor,2.0,0.793451577425003,0.793451577425003,0.7840103060007095,0.8028928488492966,0.5535261220512648,1.0333770327987413
s1,soma,,10,post,odor,1.0,0.1912074089050293,0.1912074089050293,0.1912074089050293,0.1912074089050293,,
s1,soma,,30,post,odor,2.0,1.4906205534934998,1.4906205534934998,1.3308566510677338,1.6503844559192657,-2.5693651538505398,5.550606260837539
s1,soma,,17,post,odor,2.0,0.32359693944454193,0.32359693944454193,0.29865024238824844,0.3485436365008354,-0.3103587411326413,0.9575526200217251
s1,soma,,39,post,odor,2.0,0.34148101322352886,0.34148101322352886,0.19656306970864534,0.4863989567384124,-3.34123310726749,4.024195133714548
s23,soma,,39,pre,odor,2.0,0.18589383363723755,0.18589383363723755,-0.4190860688686371,0.7908737361431122,-15.188103171384057,15.559890838658532
s23,soma,,17,pre,odor,2.0,0.04984802007675171,0.04984802007675171,-0.38477692008018494,0.48447296023368835,-10.99501892608667,11.094714966240174
s23,soma,,32,pre,odor,2.0,2.4256041049957275,2.4256041049957275,1.9158176183700562,2.935390591621399,-10.529298836606197,15.380507046597652
s23,soma,,30,pre,odor,2.0,0.9505276083946228,0.9505276083946228,0.8022261559963226,1.098829060792923,-2.8181696252951123,4.719224842084358
s23,soma,,40,pre,odor,2.0,-0.07038170099258423,-0.07038170099258423,-0.4824288487434387,0.34166544675827026,-10.541492541550946,10.400729139565778
s23,soma,,3,pre,odor,2.0,2.9320817589759827,2.9320817589759827,2.2630136907100677,3.6011498272418976,-14.070549956671258,19.934713474623223
s23,soma,,2,pre,odor,2.0,1.1662650853395462,1.1662650853395462,0.6722173616290092,1.6603128090500832,-11.388677968474756,13.721208139153848
s23,soma,,1,pre,odor,2.0,1.012856513261795,1.012856513261795,0.9894202798604965,1.0362927466630936,0.41728535357844543,1.6084276729451448
s23,soma,,4,pre,odor,2.0,3.012884259223938,3.012884259223938,2.346352517604828,3.679416000843048,-13.925293285119071,19.951061803566947
s23,soma,,31,pre,odor,2.0,2.106847643852234,2.106847643852234,2.0036315321922302,2.2100637555122375,-0.5161224497955152,4.7298177374999835
s23,soma,,21,pre,odor,2.0,1.1817599833011627,1.1817599833011627,1.0822730511426926,1.2812469154596329,-1.3464426738577249,3.7099626404600503
s23,soma,,12,pre,odor,2.0,2.1191717982292175,2.1191717982292175,1.8180857002735138,2.4202578961849213,-5.532151409453024,9.77049500591146
s23,soma,,22,pre,odor,2.0,3.0214858055114746,3.0214858055114746,2.760986328125,3.281985282897949,-3.5984335811666384,9.641405192189588
s23,soma,,10,pre,odor,2.0,4.050273895263672,4.050273895263672,3.1227548122406006,4.977792978286743,-19.52022083593664,27.620768626463985
s23,soma,,0,pre,odor,2.0,-0.17941197007894516,-0.17941197007894516,-0.19085117802023888,-0.16797276213765144,-0.4701098063224519,0.1112858661645616
s23,soma,,18,pre,odor,2.0,-0.6069912910461426,-0.6069912910461426,-1.4276866912841797,0.21370410919189453,-21.462838853968808,20.248856271876523
s23,soma,,12,post,odor,2.0,0.030478348955512047,0.030478348955512047,0.025122015736997128,0.035834682174026966,-0.10563898406373617,0.16659568197476027
s23,soma,,18,post,odor,2.0,0.22450676932930946,0.22450676932930946,0.1713097896426916,0.2777037490159273,-1.127356661159276,1.576370199817895
s23,soma,,40,post,odor,2.0,0.0763467289507389,0.0763467289507389,0.07202997989952564,0.08066347800195217,-0.03335226552806826,0.18604572342954606
s23,soma,,32,post,odor,2.0,0.25442466139793396,0.25442466139793396,0.24115268886089325,0.26769663393497467,-0.08284813921912032,0.5916974620149882
s23,soma,,31,post,odor,2.0,0.13857173174619675,0.13857173174619675,0.1164654977619648,0.1606779657304287,-0.4232009381526711,0.7003444016450646
s23,soma,,0,post,odor,2.0,-0.011810795404016972,-0.011810795404016972,-0.029282220173627138,0.005660629365593195,-0.4558017957146981,0.43218020490666414
s23,soma,,4,post,odor,2.0,0.034559544175863266,0.034559544175863266,0.027617977932095528,0.041501110419631004,-0.14184237959020077,0.2109614679419273
s23,soma,,2,post,odor,2.0,-0.006246160948649049,-0.006246160948649049,-0.011407360550947487,-0.0010849613463506103,-0.1374046786107838,0.12491235671348569
s23,soma,,3,post,odor,2.0,0.07384862564504147,0.07384862564504147,0.06512126047164202,0.08257599081844091,-0.14793475175610685,0.29563200304618975
s23,soma,,21,post,odor,2.0,0.8668794929981232,0.8668794929981232,0.8595456033945084,0.874213382601738,0.6805076873660576,1.0532512986301887
s23,soma,,1,post,odor,2.0,-0.014984817244112492,-0.014984817244112492,-0.03229207592085004,0.0023224414326250553,-0.45480396158123887,0.4248343270930139
s23,soma,,22,post,odor,2.0,0.16839280724525452,0.16839280724525452,0.136575385928154,0.20021022856235504,-0.6401645316191622,0.9769501461096712
s23,soma,,10,post,odor,1.0,-0.008073790930211544,-0.008073790930211544,-0.008073790930211544,-0.008073790930211544,,
s23,soma,,30,post,odor,2.0,0.1970682144165039,0.1970682144165039,0.19605350494384766,0.19808292388916016,0.17128200180189157,0.22285442703111624
s23,soma,,17,post,odor,2.0,0.21326661109924316,0.21326661109924316,0.18867085874080658,0.23786236345767975,-0.41177071911385055,0.8383039413123369
s23,soma,,39,post,odor,2.0,0.018471227813279256,0.018471227813279256,0.009562277016812004,0.02738017860974651,-0.20792667779555973,0.24486913342211825
s46,soma,,39,pre,odor,2.0,-1.5540691316127777,-1.5540691316127777,-1.9712152928113937,-1.1369229704141617,-12.154758189810673,9.046619926585118
s46,soma,,17,pre,odor,2.0,-1.1035058796405792,-1.1035058796405792,-1.3385526686906815,-0.868459090590477,-7.076611128142705,4.869599368861547
s46,soma,,32,pre,odor,2.0,4.092594504356384,4.092594504356384,4.039050877094269,4.1461381316185,2.731921923736656,5.453267084976113
s46,soma,,30,pre,odor,2.0,1.7971559017896652,1.7971559017896652,1.1281568482518196,2.466154955327511,-15.203721983328258,18.798033786907588
s46,soma,,40,pre,odor,2.0,-0.48054103553295135,-0.48054103553295135,-0.6261896416544914,-0.3348924294114113,-4.1818230533704615,3.2207409823045587
s46,soma,,3,pre,odor,2.0,-1.8383992910385132,-1.8383992910385132,-2.3090248703956604,-1.367773711681366,-13.798129221823999,10.121330639746972
s46,soma,,2,pre,odor,2.0,0.08185888826847076,0.08185888826847076,-0.15289513021707535,0.3166129067540169,-5.883806354765704,6.047524131302645
s46,soma,,1,pre,odor,2.0,1.7168799042701721,1.7168799042701721,1.5357622802257538,1.8979975283145905,-2.88575532060562,6.319515129145964
s46,soma,,4,pre,odor,2.0,-0.1992349624633789,-0.1992349624633789,-0.6771680116653442,0.2786980867385864,-12.344665309152228,11.94619538422547
s46,soma,,31,pre,odor,2.0,2.299386739730835,2.299386739730835,1.9674633741378784,2.6313101053237915,-6.135585740157701,10.734359219619371
s46,soma,,21,pre,odor,2.0,-0.5414870157837868,-0.5414870157837868,-0.876874465495348,-0.20609956607222557,-9.064490219740968,7.981516188173394
s46,soma,,12,pre,odor,2.0,0.42561179399490356,0.42561179399490356,-0.3220941722393036,1.1733177602291107,-18.575398384867412,19.42662197285722
s46,soma,,22,pre,odor,2.0,2.2134931683540344,2.2134931683540344,1.8145073354244232,2.6124790012836456,-7.925698191719626,12.352684528427694
s46,soma,,10,pre,odor,2.0,4.034780263900757,4.034780263900757,4.024351000785828,4.045209527015686,3.769747559129306,4.2998129686722075
s46,soma,,0,pre,odor,2.0,-0.9840727001428604,-0.9840727001428604,-1.235790677368641,-0.7323547229170799,-7.380833008955912,5.412687608670192
s46,soma,,18,pre,odor,2.0,-0.13482677936553955,-0.13482677936553955,-0.423159122467041,0.15350556373596191,-7.462046346382828,7.192392787651749
s46,soma,,12,post,odor,2.0,0.4470638185739517,0.4470638185739517,0.43962814658880234,0.4544994905591011,0.2581054773852586,0.6360221597626449
s46,soma,,18,post,odor,2.0,-0.16259586811065674,-0.16259586811065674,-0.19690870493650436,-0.1282830312848091,-1.0345677276870058,0.7093759914656924
s46,soma,,40,post,odor,2.0,0.02809668518602848,0.02809668518602848,0.007173462770879269,0.04901990760117769,-0.5036128103087824,0.5598061806808393
s46,soma,,32,post,odor,2.0,0.022641733288764954,0.022641733288764954,-0.061368003487586975,0.10665147006511688,-2.1122480973361797,2.1575315639137096
s46,soma,,31,post,odor,2.0,0.2805890887975693,0.2805890887975693,0.2513210400938988,0.3098571375012398,-0.46318254931677016,1.0243607269119086
s46,soma,,0,post,odor,2.0,0.19381419569253922,0.19381419569253922,0.17740332707762718,0.21022506430745125,-0.2232255173465325,0.6108539087316109
s46,soma,,4,post,odor,2.0,0.018799517303705215,0.018799517303705215,-0.027679523453116417,0.06527855806052685,-1.1623448982906621,1.1999439328980726
s46,soma,,2,post,odor,2.0,0.1197587363421917,0.1197587363421917,0.10234753973782063,0.13716993294656277,-0.32270172117166523,0.5622191938560486
s46,soma,,3,post,odor,2.0,0.27696365118026733,0.27696365118026733,0.23016253113746643,0.32376477122306824,-0.9123655751119673,1.466292877472502
s46,soma,,21,post,odor,2.0,0.43207070231437683,0.43207070231437683,0.3336380273103714,0.5305033773183823,-2.0693407403460995,2.933482144974853
s46,soma,,1,post,odor,2.0,-0.01609026826918125,-0.01609026826918125,-0.03401500824838877,0.0018344717100262642,-0.471601100306194,0.4394205637678315
s46,soma,,22,post,odor,2.0,0.2596181780099869,0.2596181780099869,0.09589337557554245,0.4233429804444313,-3.901023542233621,4.420259898253595
s46,soma,,10,post,odor,1.0,0.33636876940727234,0.33636876940727234,0.33636876940727234,0.33636876940727234,,
s46,soma,,30,post,odor,2.0,0.0630765613168478,0.0630765613168478,0.05423567909747362,0.07191744353622198,-0.1615915577387019,0.28774468037239753
s46,soma,,17,post,odor,2.0,0.08344984985888004,0.08344984985888004,0.05699480231851339,0.10990489739924669,-0.5888366508473867,0.7557363505651468
s46,soma,,39,post,odor,2.0,0.13152918592095375,0.13152918592095375,0.10553316585719585,0.15752520598471165,-0.5290923205906721,0.7921506924325796
s68,soma,,39,pre,odor,2.0,8.244867324829102,8.244867324829102,8.148286819458008,8.341447830200195,5.7905239752924285,10.699210674365775
s68,soma,,17,pre,odor,2.0,-0.2346705198287964,-0.2346705198287964,-1.1796714663505554,0.7103304266929626,-24.249421524597484,23.78008048493989
s68,soma,,32,pre,odor,2.0,19.588587760925293,19.588587760925293,19.361165523529053,19.816009998321533,13.809240741094186,25.3679347807564
s68,soma,,30,pre,odor,2.0,13.457624703645706,13.457624703645706,7.11831896007061,19.796930447220802,-147.63940862250092,174.55465802979234
s68,soma,,40,pre,odor,2.0,5.4080634117126465,5.4080634117126465,3.206134557723999,7.609992265701294,-50.54825425482788,61.364381078253174
s68,soma,,3,pre,odor,2.0,-0.2162579596042633,-0.2162579596042633,-0.6037699431180954,0.1712540239095688,-10.06387116010007,9.631355240891544
s68,soma,,2,pre,odor,2.0,2.2676464319229126,2.2676464319229126,2.237289607524872,2.2980032563209534,1.4962063800396943,3.039086483806131
s68,soma,,1,pre,odor,2.0,18.594922065734863,18.594922065734863,17.169118404388428,20.0207257270813,-17.638184403575735,54.82802853504546
s68,soma,,4,pre,odor,2.0,0.4560912847518921,0.4560912847518921,-0.08195924758911133,0.9941418170928955,-13.217069159913255,14.129251729417039
s68,soma,,31,pre,odor,2.0,2.9641807973384857,2.9641807973384857,1.5983925014734268,4.329969093203545,-31.743790629726668,37.67215222440364
s68,soma,,21,pre,odor,2.0,-1.7113190032541752,-1.7113190032541752,-2.5419414211064577,-0.8806965854018927,-22.819436002629267,19.396797996120917
s68,soma,,12,pre,odor,2.0,1.8199515640735626,1.8199515640735626,0.4499836415052414,3.189919486641884,-32.99423424821645,36.634137376363576
s68,soma,,22,pre,odor,2.0,-0.07869839668273926,-0.07869839668273926,-0.46434736251831055,0.30695056915283203,-9.878967829084356,9.721571035718878
s68,soma,,10,pre,odor,2.0,-0.42564982175827026,-0.42564982175827026,-1.150585561990738,0.2992859184741974,-18.848013693686443,17.996714050169903
s68,soma,,0,pre,odor,2.0,-0.164800226688385,-0.164800226688385,-0.30294468998908997,-0.026655763387680054,-3.675383894423842,3.345783441047072
s68,soma,,18,pre,odor,2.0,-0.2539157569408417,-0.2539157569408417,-0.6197039633989334,0.11187244951725006,-9.549475439610147,9.041643925728463
s68,soma,,12,post,odor,2.0,-0.02143554389476776,-0.02143554389476776,-0.07961590588092804,0.03674481809139252,-1.4999387259365833,1.4570676381470478
s68,soma,,18,post,odor,2.0,0.42337288707494736,0.42337288707494736,0.31409287825226784,0.5326528958976269,-2.353695444268938,3.200441218418833
s68,soma,,40,post,odor,2.0,0.11931493878364563,0.11931493878364563,0.023388415575027466,0.2152414619922638,-2.318409148252586,2.5570390258198774
s68,soma,,32,post,odor,2.0,-0.005907656624913216,-0.005907656624913216,-0.040007912553846836,0.028192599304020405,-0.8724773234028843,0.8606620101530579
s68,soma,,31,post,odor,2.0,0.04016631655395031,0.04016631655395031,-0.0016805483028292656,0.08201318141072989,-1.0232633483205997,1.1035959814285003
s68,soma,,0,post,odor,2.0,-0.09505143482238054,-0.09505143482238054,-0.13232394168153405,-0.057778927963227034,-1.0422356411881406,0.8521327715433796
s68,soma,,4,post,odor,2.0,0.09661482693627477,0.09661482693627477,0.04162425431422889,0.15160539955832064,-1.3008281216541207,1.4940577755266702
s68,soma,,2,post,odor,2.0,-0.057076986064203084,-0.057076986064203084,-0.08400178101146594,-0.03015219111694023,-0.7413009002230905,0.6271469280946843
s68,soma,,3,post,odor,2.0,0.077732068952173,0.077732068952173,0.04562247940339148,0.10984165850095451,-0.7382499686505333,0.8937141065548793
s68,soma,,21,post,odor,2.0,0.8107167780399323,0.8107167780399323,0.716432586312294,0.9050009697675705,-1.5852717089123076,3.206705264992172
s68,soma,,1,post,odor,2.0,-0.11072769202291965,-0.11072769202291965,-0.17743913549929857,-0.04401624854654074,-1.8060262101361522,1.5845708260903129
s68,soma,,22,post,odor,2.0,-0.030547025613486767,-0.030547025613486767,-0.034050900023430586,-0.027043151203542948,-0.11958891685866568,0.05849486563169215
s68,soma,,10,post,odor,1.0,0.18077866733074188,0.18077866733074188,0.18077866733074188,0.18077866733074188,,
s68,soma,,30,post,odor,2.0,0.11608590930700302,0.11608590930700302,0.07513731345534325,0.1570345051586628,-0.9245165757931226,1.1566883944071287
s68,soma,,17,post,odor,2.0,-0.04371118173003197,-0.04371118173003197,-0.12441602163016796,0.03699365817010403,-2.094615619672689,2.007193256212625
s68,soma,,39,post,odor,2.0,0.06808244111016393,0.06808244111016393,0.031443780986592174,0.10472110123373568,-0.8629941924682807,0.9991590746886085
